sentence	parsed
The other board looks at the sense guide window	(S (NP (DT The) (JJ other) (NN board)) (VP (VBZ looks) (PP (IN at) (NP (DT the) (NP (NN sense) (NN guide)) (NN window)))))
A specialized share walks towards the forest office	(S (NP (DT A) (JJ specialized) (NN share)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (NN forest) (NN office)))))
The strong commission lies on the big blue cost	(S (NP (DT The) (JJ strong) (NN commission)) (VP (VBZ lies) (PP (IN on) (NP (DT the) (JJ big) (JJ blue) (NN cost)))))
The intimate bill stays in the invented amount	(S (NP (DT The) (JJ intimate) (NN bill)) (VP (VBZ stays) (PP (IN in) (NP (DT the) (VBN invented) (NN amount)))))
His convulsions rushed to his taste	(S (NP (PRP$ His) (NNS convulsions)) (VP (VBD rushed) (PP (IN to) (NP (PRP$ his) (NN taste)))))
The director begins in an first noise	(S (NP (DT The) (NN director)) (VP (VBZ begins) (PP (IN in) (NP (DT an) (JJ first) (NN noise)))))
什么接口死于这老公	(TOP (IP (NP (DP (DT 什么)) (NP (NN 接口))) (VP (VV 死) (PP (P 于) (NP (DP (DT 这)) (NP (NN 老公)))))))
这屏幕发生在驾照精神	(TOP (IP (NP (DP (DT 这)) (NP (NN 屏幕))) (VP (VV 发生) (PP (P 在) (NP (NN 驾照) (NN 精神))))))
别的户口生活在其他宏伟护士里	(TOP (IP (NP (DP (DT 别的)) (NP (NN 户口))) (VP (VV 生活) (PP (P 在) (NP (NP (DP (DT 其他)) (ADJP (JJ 宏伟)) (NP (NN 护士))) (LC 里))))))
这经理生活在耐心公园	(TOP (IP (NP (DP (DT 这)) (NP (NN 经理))) (VP (VV 生活) (PP (P 在) (NP (NN 耐心) (NP (NN 公园)))))))
很多安排坐在事情上	(TOP (IP (NP (CD 很多)(NN 安排)) (VP (VV 坐) (PP (P 在) (NP (NP (NN 事情)) (LC 上))))))
这些英语看向显卡	(TOP (IP (DP (DT 这些)(NN 英语)) (VP (VV 看) (PP (P 向) (NP (NN 显卡))))))
多少低矮的意思发生在你的电梯上	(TOP (IP (NP (QP (CD 多少)) (ADJP (JJ 低矮) (DEC 的)) (NP (NN 意思))) (VP (VV 发生) (PP (P 在) (NP (NP (DNP (NP (PN 你)) (DEG 的)) (NP (NN 电梯))) (LC 上))))))
两个价位出现在严肃的历史上	(TOP (IP (NP (QP (CD 两个)) (NP (NN 价位))) (VP (VV 出现) (PP (P 在) (NP (NP (CP  (JJ 严肃) (DEG 的)) (NP (NN 历史))) (LC 上))))))
暑假医生看向新的幸福	(TOP (IP (NP (NP (NN 暑假)) (NP (NN 医生))) (VP (VV 看) (PP (P 向) (NP (CP (JJ 新) (DEC 的)) (NP (NN 幸福)))))))
想法护照停在根本交换机上	(TOP (IP (NP (NP (NN 想法)) (NP (NN 护照)))  (VP (VV 停) (PP (P 在) (NP (NP (ADJP (JJ 根本)) (NP (NN 交换机))) (LC 上))))))
一家酒店走向繁忙的眼霜	(TOP (IP (NP (QP (CD 一家)) (NP (NN 酒店))) (VP (VV 走) (PP (P 向) (NP (CP (JJ 繁忙) (DEC 的)) (NP (NN 眼霜)))))))
大型的达人摆放在网线中	(TOP (IP (NP (DNP (ADJP (JJ 大型)) (DEG 的)) (NP (NN 达人))) (VP (VV 摆放) (PP (P 在) (NP (NP (NN 网线)) (LC 中))))))
两个教育挂在你的科技	(TOP (IP (NP (QP (CD 两个)) (NP (NN 教育))) (VP (VV 挂) (PP (P 在) (NP (DNP (NP (PN 你)) (DEG 的)) (NP (NN 科技)))))))
纯粹的师傅放在房东里	(TOP (IP (NP (DNP (ADJP (JJ 纯粹)) (BA 的)) (NP (NN 师傅))) (VP (VV 放) (PP (P 在) (NP (NP (NN 房东)) (LC 里))))))
不少家庭生活在天线里	(TOP (IP (NP (QP (CD 不少)) (NP (NN 家庭))) (VP (VV 生活) (PP (P 在) (NP (NP (NN 天线)) (LC 里))))))
公园指向行政的天线	(TOP (IP (NP (NN 公园)) (VP (VV 指) (PP (P 向) (NP (DNP (NP (NN 行政)) (DEC 的)) (NP (NN 天线)))))))
男的结果放在友情科技	(TOP (IP (NP (DNP (NP (JJ 男)) (DEG 的)) (NP (NN 结果)))  (VP (VV 放) (PP (P 在) (NP (NN 友情) (NN 科技))))))
小客套走向常识	(TOP (IP (NP (ADJP (JJ 小)) (NP (NN 客套))) (VP (V 走) (PP (P 向) (NP (NN 常识))))))
活的电子会计坐在公安时间上	(TOP (IP (NP (CP (JJ 活) (DEC 的)) (NP (NN 电子) (NN 会计))) (VP (VV 坐) (PP (P 在) (NP (NP (NN 公安) (NN 时间)) (LC 上))))))
这些个大的男人死于好多高中	(TOP (IP (NP (DP (DT 这些) (CLP (M 个))) (CP  (JJ 大) (DEG 的)) (NP (NN 男人))) (VP (VV 死) (PP (P 于) (NP (QP (CD 好多)) (NP (NN 高中)))))))
俺的势头放在游击队里	(TOP (IP (NP (DNP (NP (PN 俺)) (DEG 的)) (NP (NN 势头))) (VP (VV 放) (PP (P 在) (NP (NP (NN 游击队)) (LC 里))))))
机会水平位于所谓的学期	(TOP (IP (NP (NN 机会) (NN 水平)) (VP (VV 位) (PP (P 于)(NP (DNP (ADJP (JJ 所谓)) (DEG 的)) (NP (NN 学期)))))))
胖标书指向原版的老乡	(TOP (IP (NP (ADJP (JJ 胖)) (NP (NN 标书))) (VP (VV 指) (PP (P 向) (NP (DNP (NP (JJ 原版)) (DEG 的)) (NP (NN 老乡)))))))
光头标书停在夜行的电子版上	(TOP (IP (NP (JJ 光头) (NN 标) (NN 书)) (VP (VV 停) (PP (P 在) (NP (NP (DNP (NP (NN 夜行)) (DEC 的)) (NP (NN 电子版))) (LC 上))))))
老工作看向价格的对话	(TOP (IP (NP (ADJP (JJ 老)) (NP (NN 工作))) (VP (VV 看) (PP (P 向) (NP (DNP (NP (NN 价格)) (DEC 的)) (NP (NN 对话)))))))
一条新的时间走向人品学前班	(TOP (IP (NP (QP (CD 一) (CLP (M 条))) (CP (JJ 新) (DEC 的)) (NP (NN 时间))) (VP (VV 走) (PP (P 向) (NP (NN 人品) (NP (NN 学前班)))))))
哪个大厕所放在科技中	(TOP (IP (NP (DP (DT 哪个)) (ADJP (JJ 大)) (NP (NN 厕所))) (VP (VV 放) (PP (P 在) (NP (NP (NN 科技)) (LC 中))))))
这同质化策划保存在同事样子上	(TOP (IP (NP (DP (DT 这)) (ADJP (NN 同质化)) (NP (NN 策划))) (VP (VV 保存) (PP (P 在) (NP (NP (NN 同事) (NP (NN 样子))) (LC 上))))))
我的燃料冲到工号旁边	(TOP (IP (NP (DNP (NP (PN 我)) (DEG 的)) (NP (NN 燃料))) (VP (VRD (VV 冲) ) (PP (VV 到)(NP (NN 工号) (NN 旁边))))))
那个电池始于不少工号	(TOP (IP (NP (DP (DT 那个)) (NP (NN 电池))) (VP (V 始于) (PP (P 于) (NP (QP (CD 不少)) (NP (NN 工号)))))))
