demonstration	demon_label
The embryo had progressed only to a clump of eight identical cells	The embryo had progressed to a clump of eight identical cells
We were coming down straight into their canal	We were coming down into their canal
One ad features a huge robot carrying a voluptuous woman in a faint	One ad features a huge robot
The robberies also have set off a controversy involving the airlines	The robberies also have set off a controversy
At least half that growth will have come in the past three years alone	At least half that growth will have come in the past three years
Blue chips led the march up in heavy trading	Blue chips led the march in heavy trading
He ticks off several major differences between now and two years ago	He ticks off several major differences between now and ago
It was all over the place	It was all over
Not to mention the incursion of imports	Not to mention
Not even an earthquake	Not even
Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell more
Steppenwolf needs the extra seats even more than the fly space	Steppenwolf needs the extra seats even more
Others had lesser damage and there were no injuries among workers	and there were no injuries among workers
Two workers died and six remain in the hospital	Two workers died and
She was as cool as a cucumber	She was as a cucumber
Poverty remains far more widespread among blacks than other Americans	Poverty remains among blacks than other Americans
And perhaps with good reason	And perhaps
And not just for the players	And not just
Several other Japanese companies and regional governments have sent aid to San Francisco	Several other Japanese and regional governments have sent aid to San Francisco
No lawyers or tape recorders were present	No or tape recorders were present
Berkeley very quiet right now	Berkeley very quiet
And not just for the players	And not for the players
He ticks off several major differences between now and two years ago	He ticks off several major differences between and two years ago
Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell than the overall measures
Following are excerpts from the electronic traffic that night	Following are
Now comes the pool flap	Now comes
Only now is it undergoing a badly needed facelift	Only now is it
Nor does it cover the entire portfolio	Nor does it
Percentage differences based on daily sales rate rather than sales volume	Percentage differences based on daily sales rate sales volume
He has designed furniture and homes as well as commercial and office space	He has designed furniture and homes commercial and office space
Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasury bonds tumbled in moderate to trading
Whether she can meet that ambitious goal is still far from certain	Whether she can meet that ambitious goal is still far from
But there is no solid evidence that the Khmer Rouge have changed	But there is no solid evidence
It has more drug users than Boston has people	It has more drug users
Poverty remains far more widespread among blacks than other Americans	Poverty remains widespread among blacks than other Americans
More carefully targeted intervention might actually reduce the need for government action	targeted intervention might actually reduce the need for government action
Several other Japanese companies and regional governments have sent aid to San Francisco	Several other Japanese have sent aid to San Francisco
The pool invested idle cash for many state agencies and local governments	The pool invested idle cash for many
Hanson is a London producer of consumer and other goods	Hanson is a London producer of goods
The company is active in office and residential development in New York	The company is active in development in New York
Only now is it undergoing a badly needed facelift	is it undergoing a badly needed facelift
Never once did she gasp for air or mop her brow	did she gasp for air or mop her brow
Closed yesterday due to power difficulties	yesterday due to power difficulties
Berkeley very quiet right now	Berkeley right now
But the device obscures more than it illuminates	But the device obscures more
The stock market is certainly not too big for the Fed to handle	The stock market is certainly not too big
It arrived just as the regulator handling such operations was retiring	It arrived as the regulator handling such operations was retiring
More people are remaining independent longer presumably because they are better off physically and financially	More people are remaining independent longer because they are better off physically and financially
Some equipment going to work is almost new	Some equipment going to is almost new
Nerds and geeks sometimes find themselves a bit isolated at Harvard	Nerds and geeks sometimes find themselves isolated at Harvard
And transfer control of much of it to Capitol Hill	And
Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received a bigger boost later in the day stock prices moved broadly lower
The closely watched funds rate is what banks charge each other on overnight loans	The closely watched funds rate is banks charge each other on overnight loans
Some institutional traders loved the wild ride	loved the wild ride
It arrived just as the regulator handling such operations was retiring	arrived just as the regulator handling such operations was retiring
It also inevitably leaves a residue of shareholder lawsuits	It also leaves a residue of shareholder lawsuits
The stock market is certainly not too big for the Fed to handle	The stock market is certainly not too big for
One ad features a huge robot carrying a voluptuous woman in a faint	One ad features a huge robot
