sentence	tree
这幅美丽的画引发强烈的情感	(S (NP (DP (DT 这) (CLP (M 幅))) (JJ 美丽) (DEG 的) (NP (NN 画))) (VP (VV 引发) (NP-OBJ (CP (CP (S (VP (VA 强烈))) (DEC 的))) (NP (NN 情感)))))
the old man looked at the window	(S (NP (DT the) (JJ old) (NN man)) (VP (VBD looked) (PP (IN at) (NP (DT the) (NN window)))))
A surprising revelation happened on their wedding anniversary	(S (NP (DT A) (JJ surprising) (NN revelation)) (VP (VBD happened) (PP (IN on) (NP (PRP$ their) (NN wedding) (NN anniversary)))))
A full moon appeared in the dark night sky	(S (NP (DT A) (JJ full) (NN moon)) (VP (VBD appeared) (PP (IN in) (NP (DT the) (JJ dark) (NN night) (NN sky)))))
The students look at the complex equation	(S (NP (DT The) (NNS students)) (VP (VBP look) (PP (IN at) (NP (DT the) (JJ complex) (NN equation)))))
The bird rests on the sturdy branch	(S (NP (DT The) (NN bird)) (VP (VBZ rests) (PP (IN on) (NP (DT the) (JJ sturdy) (NN branch)))))
A gentleman walks towards the bustling cafe	(S (NP (DT A) (NN gentleman)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (JJ bustling) (NN cafe)))))
The thick essay lies on the shelf	(S (NP (DT The) (JJ thick) (NN essay)) (VP (VBZ lies) (PP (IN on) (NP (DT the) (NN shelf)))))
A picture hangs at his study	(S (NP (DT A) (NN picture)) (VP (VBZ hangs) (PP (IN at) (NP (PRP$ his) (NN study)))))
The fresh linens lie in the laundry basket	(S (NP (DT The) (JJ fresh) (NNS linens)) (VP (VBP lie) (PP (IN in) (NP (DT the) (NN laundry) (NN basket)))))
Many squirrels live in the oak tree	(S (NP (JJ Many) (NNS squirrels)) (VP (VBP live) (PP (IN in) (NP (DT the) (NN oak) (NN tree)))))
The road sign points to the nearest exit	(S (NP (DT The) (NN road) (NN sign)) (VP (VBZ points) (PP (IN to) (NP (DT the) (JJS nearest) (NN exit)))))
The fragile vase stays on the top shelf	(S (NP (DT The) (JJ fragile) (NN vase)) (VP (VBZ stays) (PP (IN on) (NP (DT the) (JJ top) (NN shelf)))))
The little girl walks towards the living room	(S (NP (DT The) (JJ little) (NN girl)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (NN living) (NN room)))))
the old guests sat at the dinner table	(S (NP (DT the) (JJ old) (NNS guests)) (VP (VBD sat) (PP (IN at) (NP (DT the) (NN dinner) (NN table)))))
The great artist died from a serious illness	(S (NP (DT The) (JJ great) (NN artist)) (VP (VBD died) (PP (IN from) (NP (DT a) (JJ serious) (NN illness)))))
His glasses lie on the bedside table	(S (NP (PRP$ His) (NNS glasses)) (VP (VBP lie) (PP (IN on) (NP (DT the) (JJ bedside) (NN table)))))
The golden treasure lies in the dense jungle	(S (NP (DT The) (JJ golden) (NN treasure)) (VP (VBZ lies) (PP (IN in) (NP (DT the) (JJ dense) (NN jungle)))))
The old map points to a hidden treasure	(S (NP (DT The) (JJ old) (NN map)) (VP (VBZ points) (PP (IN to) (NP (DT a) (VBN hidden) (NN treasure)))))
The small boat stays in the calm lake	(S (NP (DT The) (JJ small) (NN boat)) (VP (VBZ stays) (PP (IN in) (NP (DT the) (JJ calm) (NN lake)))))
The young boy looks at the toy store window	(S (NP (DT The) (JJ young) (NN boy)) (VP (VBZ looks) (PP (IN at) (NP (DT the) (NML (NN toy) (NN store)) (NN window)))))
A lost puppy walks towards the city park	(S (NP (DT A) (VBN lost) (NN puppy)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (NN city) (NN park)))))
The secret letter lies on the old wooden desk	(S (NP (DT The) (JJ secret) (NN letter)) (VP (VBZ lies) (PP (IN on) (NP (DT the) (JJ old) (JJ wooden) (NN desk)))))
The rare artifact stays in the secured vault	(S (NP (DT The) (JJ rare) (NN artifact)) (VP (VBZ stays) (PP (IN in) (NP (DT the) (VBN secured) (NN vault)))))
His parents rushed to his side	(S (NP (PRP$ His) (NNS parents)) (VP (VBD rushed) (PP (IN to) (NP (PRP$ his) (NN side)))))
The story begins in a small town	(S (NP (DT The) (NN story)) (VP (VBZ begins) (PP (IN in) (NP (DT a) (JJ small) (NN town)))))
His father died of a heart attack	(S (NP (DT His) (NN father) ) (VP (VBD died) (PP (IN of) (NP (DT a) (NN heart) (NN attack))) ))
The accident happened on Saturday night	(S (NP (DT The) (NN accident) ) (VP (VBD happened) (PP (IN on) (NP (NN Saturday) (NN night))) ))
His family lived in an old farmhouse	(S (NP (PRP$ His) (NN family) ) (VP (VBD lived) (PP (IN in) (NP (DT a) (JJ old) (NN farmhouse))) ))
Most people live in rural areas	(S (NP (JJS Most) (NN people) ) (VP (VBZ live) (PP (IN in) (NP (JJ rural) (NN areas))) ))
the rest students sat on the ground	(S (NP (DT the) (JJ rest) (NNS students) ) (VP (VBD sat) (PP (IN on) (NP (DT the) (NN ground))) ))
这个老人看向窗户	(S (NP (DT 这个) (NN 老人)) (VP (VV 看) (PP (P 向) (NP (NN 窗户)))))
一件惊讶的事情发生在他们的结婚纪念日上	(S (NP (CD 一件) (JJ 惊讶) (DEC 的) (NN 事情)) (VP (VV 发生) (PP-LOC (P 在) (NP (NP (PN 他们) (DEG 的) (NN 结婚纪念日)) (LC 上)))))
一轮圆月出现在漆黑的夜空上	(S (NP (CD 一轮) (NN 圆月)) (VP (VV 出现) (PP-LOC (P 在) (NP (NP (JJ 漆黑) (DEG 的) (NN 夜空)) (LC 上)))))
学生们看向复杂的方程式	(S (NP (NN 学生) (NN 们)) (VP (VV 看) (PP (P 向) (NP (JJ 复杂) (DEG 的) (NN 方程式)))))
小鸟们停在粗树枝上	(S (NP (NN 小鸟) (NN 们)) (VP (VV 停) (PP-LOC (P 在) (NP (NP (JJ 粗) (NN 树枝)) (LC 上)))))
一位绅士走向繁忙的咖啡厅	(S (NP (CD 一位) (NN 绅士)) (VP (VV 走) (PP (P 向) (NP-OBJ (JJ 繁忙) (DEC 的) (NN 咖啡厅)))))
厚厚的论文摆放在书架上	(S (NP (JJ 厚厚) (DEG 的) (NN 论文)) (VP (VV 摆放) (PP-LOC (P 在) (NP (NN 书架) (LC 上)))))
一张照片挂在他的书房	(S (NP (CD 一张) (NN 照片)) (VP (VV 挂) (PP-LOC (P 在) (NP (PN 他的) (NN 书房)))))
干净的床单放在洗衣篮中	(S (NP (JJ 干净) (DEC 的) (NN 床单)) (VP (VV 放) (PP-LOC (P 在) (NP (NN 洗衣篮) (LC 中)))))
许多松鼠生活在橡树上	(S (NP (CD 许多) (NN 松鼠)) (VP (VV 生活) (PP-LOC (P 在) (NP (NN 橡树) (LC 上)))))
路标指向最近的出口	(S (NP (NN 路标)) (VP (VV 指) (PP (P 向) (NP-OBJ (NT 最近) (DEG 的) (NN 出口)))))
易碎的花瓶放在顶层书架	(S (NP (JJ 易碎) (DEG 的) (NN 花瓶)) (VP (VV 放) (PP-LOC (P 在) (NP (NN 顶层) (NN 书架)))))
小女孩走向卧室	(S (NP (JJ 小) (NN 女孩)) (VP (VV 走) (PP (P 向) (NP-OBJ (NN 卧室)))))
年老的客人们坐在晚餐桌旁	(S (NP (JJ 年老) (DEC 的) (NN 客人) (NN 们)) (VP (VV 坐) (PP-LOC (P 在) (NP (NN 晚餐) (NN 桌) (LC 旁)))))
这位伟大的艺术家死于一场重病	(S (NP (DT 这位) (JJ 伟大) (DEC 的) (NN 艺术家)) (VP (VV 死) (PP (P 于) (NP (CD 一场) (NN 重病)))))
他的眼镜放在床头柜上	(S (NP (PN 他的) (NN 眼镜)) (VP (VV 放) (PP-LOC (P 在) (NP (NN 床头柜) (LC 上)))))
黄金宝藏位于茂密的丛林	(S (NP (NN 黄金) (NN 宝藏)) (VP (VV 位) (PP (P 于) (NP (JJ 茂密) (DEC 的) (NN 丛林)))))
旧地图指向隐藏的宝藏	(S (NP (JJ 旧) (NN 地图)) (VP (VV 指) (PP (P 向) (NP-OBJ (VV 隐藏) (DEC 的) (NN 宝藏)))))
小船停在平静的湖面上	(S (NP (JJ 小) (NN 船)) (VP (VV 停) (PP-LOC (P 在) (NP (NP (JJ 平静) (DEG 的) (NN 湖面)) (LC 上)))))
小男孩看向玩具店的橱窗	(S (NP (JJ 小) (NN 男孩)) (VP (VV 看) (PP (P 向) (NP-OBJ (NN 玩具店) (DEG 的) (NN 橱窗)))))
一只迷路的小狗走向城市公园	(S (NP (CD 一只) (JJ 迷路) (DEC 的) (NN 小狗)) (VP (VV 走) (PP (P 向) (NP-OBJ (NN 城市) (NN 公园)))))
这封秘密信放在旧木桌上	(S (NP (DT 这封) (JJ 秘密) (NN 信)) (VP (VV 放) (PP-LOC (P 在) (NP (NN 旧木桌) (LC 上)))))
这件稀有文物保存在安全保险库中	(S (NP (DT 这件) (JJ 稀有) (NN 文物)) (VP (VV 保存) (PP-LOC (P 在) (NP (NN 安全) (NN 保险库) (LC 中)))))
他的父母冲到他身旁	(S (NP (PN 他的) (NN 父母)) (VP (VV 冲) (PP (VV 到) (NP-OBJ (PN 他) (NN 身旁)))))
这个故事始于一个小镇	(S (NP (DT 这个) (NN 故事)) (VP (VV 始) (PP (P 于) (NP-OBJ (CD 一个) (NN 小镇)))))
他的父亲死于一次心脏病	(S (NP (DT 他的) (NN 父亲) ) (VP (VV 死) (PP (P 于) (NP (DT 一次) (NN 心脏病))) ))
这场意外发生在周六晚上	(S (NP (DT 这场) (NN 意外) ) (VP (VV 发生) (PP (P 在) (NP (NN 周六) (NN 晚上))) ))
他们一家生活在一个老旧农舍里	(S (NP (DT 他们) (NN 一家) ) (VP (VV 生活) (PP (P 在) (NP (DT 一个) (JJ 老旧) (NN 农舍) (LC 里) )) ))
大部分人生活在农村地区	(S (NP (DT 大部分) (NN 人) ) (VP (VBZ 生活) (PP (P 在) (NP (NN 农村) (NN 地区))) ))
剩余学生坐在地上	(S (NP (JJ 剩余) (NN 学生) ) (VP (VV 坐) (PP (P 在) (NP (NN 地上))) ))
