demon	d_deleted	test	t_deleted	start
这就是相声小品的文件	相声小品的文件	现在我只加了电子病历的	电子病历的	6
这是原版的	原版的	雇主雇员应订定暴雨下工作守则	暴雨下工作守则	7
你啥时候调去的	啥时候	所以我才有其他想法	其他想法	5
你就算是好男人呢	好男人	队员家长送了张卡	张卡	6
你啥时候去开会啊	啥时候	那你现在做哪个试验呢	哪个试验	5
但是公司有营销策划部门	营销策划部门	我不知道他们邮箱	他们邮箱	4
它和启明是一个概念	一个概念	我下周二就走了	下周二	1
基本她没管家庭和小孩	家庭和小孩	你问问销售的价格	销售的价格	3
哦我们没有这么多人	这么多人	新科技服务老传统	老传统	5
哈哈我有机会抱小小宝宝了	小小宝宝	我周日晚上走	周日晚上	1
他们给我推荐了一个童言国际	一个童言国际	我是说手机信息	手机信息	3
她现在就是属于她男人的	她男人	你不在一早上了	一早上	3
忠厚保持到生命最后一刻	生命最后一刻	你啥时候来	啥时候	1
咱没有那个本事跟着去学肯定不行	那个本事	你那边现在几点	现在几点	3
这恰恰说明了应试教育的好处	应试教育的好处	以后人类也是转基因的了呢	转基因的	6
我哪有什么关系	什么关系	我比较喜欢头脑对抗	头脑对抗	5
你是男的女的呀	男的女的	我也觉得你们落实啥东西不够好	啥东西	8
自己发自己的	自己的	每天往返路程需要多长时间	多长时间	8
冲冲要做一个小手术	一个小手术	我睡了一觉醒了	一觉	3
他加入他们群了	他们群	你可以加我人人	我人人	4
这是我的简历	我的简历	我最近和公司的人有些矛盾	些矛盾	9
我也不知道他啥时候回来	啥时候	你头像怎么是黑的	黑的	6
路由器在我这边	我这边	这不是基本的列	基本的	3
化疗很伤害正常就细胞	正常就细胞	但是我冒得你滴恒心列	你滴恒心	5
他不适合我结婚对象	我结婚对象	我也不知道他啥时候回来	啥时候	6
我只能找兼职的了	兼职的	你发到我信箱吧	我信箱	3
这样的说法也震动了我们那个政府	我们那个政府	那你还是打印电子版的吧	电子版的	6
你男人已经把你当成私有财产了	私有财产	他知道这个事	这个事	3
要不我还是周三周五去吧	周三周五	我明后天再给教练长打电话	明后天	1
你可以去研究这种社会课题了	这种社会课题	你的签名是神马意思啊	神马意思	5
我现在一身汗	一身汗	你那边现在几点	现在几点	3
老公是华师的	华师的	这个要熊猫的那个	熊猫的那个	3
友情是体系外额外的东西	体系外额外的东西	我都是用网络硬盘的	网络硬盘	4
以前我每天早上都路过的	每天早上	毒狗的分身有持续时间么	持续时间	6
我不同意师傅的看法	师傅的看法	我就见过好几个这样的人	好几个这样的人	4
然后你把钱打到我的支付宝	我的支付宝	她不能算新编辑啊	新编辑	4
自己发自己的	自己的	只是对方是不是看到你的名字	你的名字	9
你那边现在几点	现在几点	这个也是要计算机专业的吗	计算机专业的	5
主专业不是我们学院就是学校的	我们学院	你还有个姐呢	个姐	3
你看我的签名	我的签名	你那个专业啊	那个专业	1
你还记得你的账号吗	你的账号	你们那边晚上几点啦	晚上几点	4
学校需要什么人	什么人	也许你有你的难处	你的难处	4
这就是相声小品的文件	相声小品的文件	我怕她知道我们的聊天	我们的聊天	5
我们每个人买了一个新秀丽的箱子	一个新秀丽的箱子	楼顶各种小花园	各种小花园	2
要不我还是周三周五去吧	周三周五	他们没有经济来源吗	经济来源	4
我等下写个大概数给你发过去	个大概数	我觉的她应该有这个想法	这个想法	7
这是谁的主意啊	谁的主意	孩子们去同学家过生日去了	同学家	4
祖上多少代都没这基因	这基因	这是他大厅	他大厅	2
只是对方是不是看到你的名字	你的名字	我不开那样的	那样的	3
那必竟是他爸	他爸	我们也是学前班上了一个私立学校	一个私立学校	9
那你俩照什么主题	什么主题	我七八点的时候打把	七八点的时候	1
你男人已经把你当成私有财产了	私有财产	你什么时候填志愿啊	什么时候	1
我和你一个年纪了	一个年纪	以前我每天早上都路过的	每天早上	3
我们只是公司的一个部门	公司的一个部门	他们这几天可能去我小姨那里了	我小姨那里	8
那你还是打印电子版的吧	电子版的	那只是一方面	一方面	3
你看什么稿子啊	什么稿子	你么时候来呀	么时候	1
大屏幕是台电脑吗	台电脑	社会主义不止一条路	一条路	6
房子车子都不是我们的名字	我们的名字	你机票多少钱	多少钱	3
我可能是周六早到	周六早	排名啥时出啊	啥时	2
你昨天啥情况啊	啥情况	我会吸取你们滴教训滴	你们滴教训	4
哦我们没有这么多人	这么多人	我跟隔壁的用的一根网线	一根网线	7
我怕她知道我们的聊天	我们的聊天	他加入他们群了	他们群	3
我姐姐说她都这把年纪了	这把年纪	还是你们在哪里再要一个孩子啊	一个孩子	9
你的手套还在我这里	我这里	那是男厕所	男厕所	2
咱没有那个本事跟着去学肯定不行	那个本事	生长素可能近期有点效果	点效果	8
我还得赶点东西	点东西	胡萝卜不是小人参吗	小人参	5
我买了挺多肉丸的	挺多肉丸	哦我们没有冬季工装	冬季工装	5
情感的缺失给我造成不少的困扰	不少的困扰	我怎么觉得我有点晚睡强迫症	点晚睡强迫症	7
我还有点佩服你师傅这样的人	你师傅这样的人	我跟隔壁的用的一根网线	一根网线	7
我们换了新领导	新领导	这是我的微博	我的微博	2
你是我的初恋	我的初恋	我可能是周六早到	周六早	4
家里哪有什么事单位肯定事多啊	什么事	我先看看检查结果	检查结果	4
你操那心呢	那心	下次他什么时候来	什么时候	3
我可以包你晚饭	你晚饭	这个男孩有些意向	些意向	5
你么时候来呀	么时候	我也不知道这事	这事	5
你这年纪轻轻滴失眠个什么撒	个什么	我会吸取你们滴教训滴	你们滴教训	4
他一般不参加我的活动	我的活动	因为我们下学期有开理论犯罪学	下学期	4
忠厚保持到生命最后一刻	生命最后一刻	你看社区地图	社区地图	2
对男生你有什么期望呢	什么期望	一节课多少钱	多少钱	3
机房里就一个交换机	就一个交换机	恩我正在订机票酒店什么的	机票酒店什么的	5
欧元促进电子商务发展	电子商务发展	因为我们下学期有开理论犯罪学	下学期	4
这么多年的朋友搞得跟个外人似得	个外人	那你还是打印电子版的吧	电子版的	6
你看我身边的老乡	我身边的老乡	但我每天都会关注你的签名	你的签名	8
我们公司在搞什么二十周年庆	什么二十周年庆	送礼也是个技术活	个技术活	4
你操那心呢	那心	就是你来我这也很方便啊	我这	4
现在这里早上十点半	早上十点半	现在我只加了电子病历的	电子病历的	6
十月一日为法定假日	法定假日	因为我手机是白的	白的	6
好汉不提当年勇	当年勇	你是什么时候来	什么时候	2
人家是个大型连锁	个大型连锁	他问咱有免税政策嘛	免税政策	4
那你竟物业科吗	物业科	我们做弱电系统	弱电系统	3
我也不知道他啥时候回来	啥时候	最多你是多买一个保险	一个保险	6
小女孩你昨天去思考什么人生了	什么人生	江山惨烂总高潮	总高潮	4
小孩教育真是一门大学问	一门大学问	那必竟是他爸	他爸	4
你入市了几多钱	几多钱	我先洗把脸你忙会儿	把脸	3
我在网上查不到什么资料啊	什么资料	我倒是没有考虑过这个问题	这个问题	8
我今天上午去过你的店	今天上午	附近有个民生银行	个民生银行	3
你要是个男的就好了	个男的	你几几年的啊	几几年的	1
他们家也有十字绣的	十字绣的	咱俩差不多同时能解脱	差不多同时	2
我跟你同学一个组啊	一个组	你那个专业啊	那个专业	1
所以你换家医院看看不行吗	家医院	难得他大老远见你一面	一面	8
我没有淘宝账号	淘宝账号	我可以包你晚饭	你晚饭	4
我没见过她老公	她老公	你问问销售的价格	销售的价格	3
那你请啥假	啥假	我知道那个地方	那个地方	3
哦我们没有这么多人	这么多人	我是借用你的话	你的话	4
我在等最新的电池了	最新的电池	动车多少钱	多少钱	2
你是男的女的呀	男的女的	我也就这消费水平	这消费水平	3
我去年年底感冒了一次病了一周	去年年底	我开了个淘宝店	个淘宝店	3
我搬新家了	新家	你是项目的骨干	项目的骨干	2
你不来交啥钱呀	啥钱	小孩教育真是一门大学问	一门大学问	6
我预约了心脏彩超	心脏彩超	你看社区地图	社区地图	2
我只听过他家的卸妆油	他家的卸妆油	那我明天早上跟她说吧	明天早上	2
这是他大厅	他大厅	小弟弟最可怜才一个月	一个月	7
这个也是要计算机专业的吗	计算机专业的	你在哪呆多长时间啊	多长时间	4
这个领导可能有领导的想法吧	领导的想法	机房里就一个交换机	就一个交换机	3
我们公司在搞什么二十周年庆	什么二十周年庆	那你还是打印电子版的吧	电子版的	6
龙没有特价票	特价票	因为我手机是白的	白的	6
这个领导可能有领导的想法吧	领导的想法	你什么时候填志愿啊	什么时候	1
我知道那个地方	那个地方	他在哪个城市啊	哪个城市	2
各有各的好吧	各的好	预产期什么时候啊	什么时候	3
你那边现在几点	现在几点	你们都给我打低分	低分	6
现在儿子肯定多数听老婆的	老婆的	你啥时候调去的	啥时候	1
燃料电池的项目最近没有什么进展	什么进展	你们都给我打低分	低分	6
我现在一身汗	一身汗	咱还没这实力	这实力	3
你就说我给你的电话号码	电话号码	洋插队是什么意思	什么意思	4
主专业不是我们学院就是学校的	我们学院	不过我在你后面	你后面	4
我打不通你的	你的	你可以问问其他客户	其他客户	5
我带点小不点的小衣架	点小不点的小衣架	你找我就问这事啊	这事	5
你还有喜剧天赋了列	喜剧天赋	你是怎么知道这篇文章的	这篇文章	6
那你还要寄送什么推荐信	什么推荐信	附近有个民生银行	个民生银行	3
你就说我给你的电话号码	电话号码	我是借用你的话	你的话	4
孩子们去同学家过生日去了	同学家	大屏幕是台电脑吗	台电脑	4
改革开放不止一条路	一条路	你啥时候来	啥时候	1
你真不知道男孩女孩啊	男孩女孩	这我不是满懂事怎么个搞发	怎么个搞发	7
我没有淘宝账号	淘宝账号	我觉的她应该有这个想法	这个想法	7
我现在也是这么教我丫头	我丫头	他一般不参加我的活动	我的活动	6
我鄙视俺同学	俺同学	反正我觉得自己是这样的	这样的	8
我哪有什么关系	什么关系	你去接触个新人嘛	个新人	4
江山惨烂总高潮	总高潮	你可以查查你们那边的	你们那边的	5
这是一这是原则问题	原则问题	你半个月来一次	半个月	1
但我每天都会关注你的签名	你的签名	你肯定是一个好爸爸	一个好爸爸	4
你们那边晚上几点啦	晚上几点	那你俩照什么主题	什么主题	4
我有个重要问题那里有没有厕所	个重要问题	祖上多少代都没这基因	这基因	7
这周或下周我去社里	社里	化疗很伤害正常就细胞	正常就细胞	5
我跟我同事一起弄她的店	她的店	我还有点佩服你师傅这样的人	你师傅这样的人	6
你那边现在几点	现在几点	同学之间没有那多客套	那多客套	6
我不太好去她家做菜	她家	我在看下子房子的信息	房子的信息	5
我们也是学前班上了一个私立学校	一个私立学校	个个都几十个学生	几十个学生	3
同学之间没有那多客套	那多客套	我们没有初稿这一说	初稿这一说	4
我在等最新的电池了	最新的电池	我房东下学期有可能搬走	下学期	3
这是互相的	互相的	你可以搜索一下他的文章什么的	他的文章什么的	7
你是我的初恋	我的初恋	所以你换家医院看看不行吗	家医院	4
你总是能看到营销的本质	营销的本质	咱没有那个本事跟着去学肯定不行	那个本事	3
那你寒假什么打算	什么打算	我都是用网络硬盘的	网络硬盘	4
他应该没多久假期吧	多久假期	我有新衣服	新衣服	2
当权者不能保护自己的国民	自己的国民	学院近期是要进行大规模调整	大规模调整	8
她现在就是属于她男人的	她男人	她是个行政的主任	个行政的主任	2
他们在做大事情	大事情	她前一段时间在幼儿园打工	前一段时间	1
要不然我也旧貌换新颜啦	旧貌	你看什么稿子啊	什么稿子	2
那是理想国	理想国	他也是四个月暑假啊	四个月暑假	3
我怕她知道我们的聊天	我们的聊天	你认识新朋友没	新朋友	3
我等下写个大概数给你发过去	个大概数	方向和汽车应该没什么关系	什么关系	8
学院近期是要进行大规模调整	大规模调整	这个能不能加点内容	点内容	6
同学之间没有那多客套	那多客套	他也是四个月暑假啊	四个月暑假	3
排名啥时出啊	啥时	我们没有初稿这一说	初稿这一说	4
我是大爷型的	大爷型的	恩那我们周一周二会不会不上课啊	周一周二	4
那是你一辈子的事耶	你一辈子的事	我我很很注意到一个现象	一个现象	7
我今天在改回程的票	回程的票	你明天什么时候面试啊	什么时候	3
友情是体系外额外的东西	体系外额外的东西	我今年年初开始也白头发了	今年年初	1
你这一大早有点欢列	这一大早	我对她高中都没什么印象	什么印象	7
你看什么稿子啊	什么稿子	我们只是公司的一个部门	公司的一个部门	4
你们那边晚上几点啦	晚上几点	你啥时候去开会啊	啥时候	1
你操那心呢	那心	我先洗把脸你忙会儿	把脸	3
我去年年底感冒了一次病了一周	去年年底	他在哪个城市啊	哪个城市	2
教师待遇太低是根本原因	根本原因	我真的不明白这其中的事	这其中的事	6
我现在给你填写答辩决议呢	答辩决议	这是个永恒的矛盾	个永恒的矛盾	2
那我明天早上跟她说吧	明天早上	那个男生很有你当年的感觉	你当年的感觉	6
你回来不写比赛材料吗	比赛材料	俺们这边游击队野战军自己折腾	游击队野战军	4
这是一这是原则问题	原则问题	这个是什么意思	什么意思	3
我们都是一家人	一家人	她也是放弃了孩子的上课	孩子的上课	6
你要找天线供应商	天线供应商	你要用护士的工号	护士的工号	3
那个适合小婴儿	小婴儿	他知道这个事	这个事	3
这么多年的朋友搞得跟个外人似得	个外人	咱俩差不多同时能解脱	差不多同时	2
你有什么经验没	什么经验	我就没有关心这个问题	这个问题	6
我今天上午去过你的店	今天上午	这是你才华的发动机	你才华的发动机	2
她昨天咳了一整晚几乎没睡	一整晚	你不在一早上了	一早上	3
现在这里早上十点半	早上十点半	这是互相的	互相的	2
我在看下大屏幕	大屏幕	现在儿子肯定多数听老婆的	老婆的	9
这是原版的	原版的	我刚去看了一下所谓的米和油	所谓的米和油	7
你在哪呆多长时间啊	多长时间	我不是冷血动物	冷血动物	3
我还是坐周晨那儿	周晨那儿	俺双方都是独生子女	独生子女	5
我这是说真话	真话	然后你把钱打到我的支付宝	我的支付宝	7
你半个月来一次	半个月	那里有没有华人同事	华人同事	5
肠炎也不是什么疑难杂症啊	什么疑难杂症	你是说那个图片吗	那个图片	3
然后你把钱打到我的支付宝	我的支付宝	这样的说法也震动了我们那个政府	我们那个政府	9
你说模块上的接口吗	模块上的接口	糊涂人糊涂账	糊涂账	3
你说模块上的接口吗	模块上的接口	我在网上查不到什么资料啊	什么资料	7
哈哈我有机会抱小小宝宝了	小小宝宝	你可以加我人人	我人人	4
它的副董是我的同学	我的同学	你机票多少钱	多少钱	3
你在哪个城市呢	哪个城市	楼顶各种小花园	各种小花园	2
我就没有关心这个问题	这个问题	我也正在物色这方面的人才	这方面的人才	6
我下班去买点药	点药	我去了膜拜一下你们的教材	你们的教材	7
帝国归顺山河的吉姆了	山河的吉姆	你那边应该就是保洁的了	保洁的	7
我在看那套小说	那套小说	我们好像不能一趟车	一趟车	6
但是我冒得你滴恒心列	你滴恒心	你机票多少钱	多少钱	3
预产期什么时候啊	什么时候	我是大爷型的	大爷型的	2
我上次摸过她孩子的屁股了	她孩子的屁股	然后我去欧时力买了个外套	个外套	9
因为我这学期还不能做	这学期	他也是四个月暑假啊	四个月暑假	3
你问问销售的价格	销售的价格	呵呵这是你初恋吗	你初恋	4
你要有这种信念呀	这种信念	它应该是我党的标杆城市啊	我党的标杆城市	4
我不知道上次你看了群聊记录没	群聊记录	我最近和公司的人有些矛盾	些矛盾	9
但是这个数是周五的股价	周五的股价	他不是我老公	我老公	3
我下采购单	采购单	女性撑起半边天	半边天	4
那个适合小婴儿	小婴儿	这是互相的	互相的	2
现在我只加了电子病历的	电子病历的	我和你一个年纪了	一个年纪	3
我还在那家电力公司	那家电力公司	那个小姑娘现在是学院的收银	学院的收银	8
我鄙视俺同学	俺同学	你是说那个图片吗	那个图片	3
我不知道他们邮箱	他们邮箱	我在看下大屏幕	大屏幕	4
要不我方门卫那里	门卫那里	你看社区地图	社区地图	2
我都是用网络硬盘的	网络硬盘	小孩教育真是一门大学问	一门大学问	6
你什么时候去	什么时候	我对她高中都没什么印象	什么印象	7
我也是去看看学校和环境的	学校和环境	这是你才华的发动机	你才华的发动机	2
这样我会有心理负担	心理负担	我说你哥的孩子	你哥的孩子	2
我会吸取你们滴教训滴	你们滴教训	这是个语气词啊	个语气词	2
糊涂人糊涂账	糊涂账	你是骨科的吗	骨科的	2
你么时候来呀	么时候	你昨天啥情况啊	啥情况	3
这个是家折扣点	家折扣点	我只能找兼职的了	兼职的	4
我不开那样的	那样的	他在哪个城市啊	哪个城市	2
对男生你有什么期望呢	什么期望	它应该是我党的标杆城市啊	我党的标杆城市	4
老公也在我这边	我这边	这是个语气词啊	个语气词	2
她也是放弃了孩子的上课	孩子的上课	糊涂人糊涂账	糊涂账	3
那我这个星期不回去	这个星期	我带点小不点的小衣架	点小不点的小衣架	2
其实穷也是一种幸福	一种幸福	我只听过他家的卸妆油	他家的卸妆油	4
路由器在我这边	我这边	现在这里早上十点半	早上十点半	4
送礼也是个技术活	个技术活	新条例啥时候能正式施行	啥时候	3
我先看看检查结果	检查结果	他不是我老公	我老公	3
那个旅馆在最边上	最边上	这我不是满懂事怎么个搞发	怎么个搞发	7
我懂他的意思	他的意思	你要是个男的就好了	个男的	3
所以你先做前期工作	前期工作	你总是能看到营销的本质	营销的本质	6
我有个重要问题那里有没有厕所	个重要问题	现在这里早上十点半	早上十点半	4
祖上多少代都没这基因	这基因	方向和汽车应该没什么关系	什么关系	8
你们都给我打低分	低分	我带点小不点的小衣架	点小不点的小衣架	2
我带点小不点的小衣架	点小不点的小衣架	你那里还有我的照片吗	我的照片	5
咱还没这实力	这实力	我姐姐说她都这把年纪了	这把年纪	6
你在哪个中介啊	哪个中介	你是项目的骨干	项目的骨干	2
我下班去买点药	点药	他应该没多久假期吧	多久假期	4
十月一日为法定假日	法定假日	他们家也有十字绣的	十字绣的	5
咱部催台上道具什么的	台上道具什么的	我鄙视俺同学	俺同学	3
游戏叫啥那时候	那时候	右边的是我同学	我同学	4
你发到我信箱吧	我信箱	你就算是好男人呢	好男人	4
恩我有现成的	现成的	或者你那个地方什么时候会招人呢	什么时候	7
你肯定是一个好爸爸	一个好爸爸	你是我的初恋	我的初恋	2
因为我看她没什么兴趣	什么兴趣	我不开那样的	那样的	3
我想一下午了	一下午	这个要熊猫的那个	熊猫的那个	3
我还在那家电力公司	那家电力公司	我上次摸过她孩子的屁股了	她孩子的屁股	5
你机票多少钱	多少钱	额我不是这个意思哦	这个意思	4
你可以查查你们那边的	你们那边的	本来文件是什么格式	什么格式	5
所以你换家医院看看不行吗	家医院	你是骨科的吗	骨科的	2
因为我手机是白的	白的	你还有个姐呢	个姐	3
我真的不明白这其中的事	这其中的事	我明天早上有事列	明天早上	1
你就算是好男人呢	好男人	这周或下周我去社里	社里	7
他在哪个城市啊	哪个城市	你今天什么安排	什么安排	3
我也有过这样的经历	这样的经历	这个啥意思	啥意思	2
我没见过她老公	她老公	我只能找兼职的了	兼职的	4
本来文件是什么格式	什么格式	我还是原来的	原来的	3
生长素可能近期有点效果	点效果	他是我小学的好友	我小学的好友	2
我们得见个面	个面	忠厚保持到生命最后一刻	生命最后一刻	5
会员分散啥意思	啥意思	这里晚上十一点了	晚上十一点	2
我现在都没个方向	个方向	那里有没有华人同事	华人同事	5
社会主义不止一条路	一条路	我可能是周六早到	周六早	4
出院科室里面有个床号	个床号	那你就买植村秀的	植村秀的	4
我明后天再给教练长打电话	明后天	这个是家折扣点	家折扣点	3
那我这个星期不回去	这个星期	钱到位你就买你单位的吧	你单位的	6
我都没你们电话	你们电话	这恰恰说明了应试教育的好处	应试教育的好处	6
伟大哥待会儿再带盒熏鱼	盒熏鱼	只是个人没什么好处	什么好处	5
我房东下学期有可能搬走	下学期	那张有大师水平	大师水平	3
你们那边晚上几点啦	晚上几点	你算哈一共多少钱哈	一共多少钱	3
我们住哪个酒店	哪个酒店	心里各种状况或多或少有个预判	各种状况	2
这个是帖子在校内的分享	帖子在校内的分享	他在哪个城市啊	哪个城市	2
他们给我推荐了一个童言国际	一个童言国际	你要有这种信念呀	这种信念	3
