demon	d_label	test	start	end	prediction
Some even see a silver lining in the dark clouds	a silver lining	But the outcome of a legal dispute almost always turns on the facts	0	21	Some even see a silver lining in the dark clouds[SEP] a silver lining[SEP]But the outcome of a legal dispute
The Bakersfield Supermarket went out of business last May	last May	Soaring rights fees will lead to an even greater clutter of commercials	25	28	greater clutter of commercials
He had been vice president in that office	vice president in that office	The majority of the bikes never even make it into the high country	26	19	nan
Most British programming is more of an acquired taste	more of an acquired taste	The tape was on tv before the night was out	10	20	more of an acquired taste[SEP]The tape was on tv
Americans may not be so lucky the next time	the next time	Part of the answer lies in the nature of the industry	11	24	next time[SEP]Part of the answer lies in the nature of the industry
And the naczelnik shuts his door	his door	Some would make even James Bond green with envy	19	0	nan
Her story is becoming part of local folklore	part of local folklore	Each company worries that the other is becoming too powerful and too vertically integrated	23	0	nan
One bank stock was a winner	a winner	The stock market is certainly not too big for the Fed to handle	0	22	One bank stock was a winner[SEP] a winner[SEP]The stock market is certainly not too big for the Fed to handle
Nor do analysts expect the Sansui deal to touch off a fresh wave of foreign purchases	a fresh wave of foreign purchases	Soaring rights fees will lead to an even greater clutter of commercials	34	23	nan
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	The latest rebate is good for all Beretta models	20	18	nan
Italian President Francesco Cossiga promised a quick investigation into whether Olivetti broke Cocom rules	a quick investigation into whether Olivetti broke Cocom rules	The youthful audience for Saturday programming is no longer dependent on the networks	40	34	nan
The fund made a similar move earlier this year	a similar move	This starts in the construction phase through the use of minority contractors and local workers	11	25	similar move[SEP]This starts in the construction phase through the use of minority contractors
The House version of the bill does include the tax cut	the tax cut	It added that no discussions about such a sale are under way	17	24	added that no discussions about such a sale
Others had lesser damage and there were no injuries among workers	lesser damage	The dollar finished at its intraday highs	12	23	lesser damage[SEP]The dollar finished at its intraday highs
He sees a psychoanalyst five mornings a week	a psychoanalyst	Both firms are in New York	14	17	alyst[SEP]Both firms
The British economy is hardly the picture of health these days	the picture of health	The bikes are unwelcome on trails in national parks	0	25	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]The bikes are unwelcome on trails in national parks
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	The Old Crowd is deeply concerned by the backlash from all this	17	34	strong presumption against fair use of unpublished materials[SEP]The Old Crowd is deeply concerned by the backlash
The complicated language in the huge new law has muddied the fight	the fight	Sometimes repairs are out of the question	6	19	new law has muddied the fight[SEP] the fight[SEP]Sometimes repairs
Another poked a hole in the heel of his shoe	a hole	London shares closed moderately lower in thin trading	18	21	lower in thin trading
Still the Salinger decision created a strong presumption against fair use of unpublished materials	a strong presumption against fair use of unpublished materials	Inflation is at record levels	31	23	nan
Judges will write the real bill as suits roll through the courts	the real bill	It also asked Mesa to keep the proposal confidential	21	26	Mesa to keep the proposal confidential
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	And his outlook improved after successful cataract surgery in August	20	16	nan
Some funds are posting yields far higher than the average	yields far higher than the average	But such skills were alien to Toni Johnson	13	13	higher
And many have done just that	just that	This leads to a very special sense of urgency	15	0	nan
He visits the same department every two or three weeks	the same department	He can live with little pleasures	12	1	nan
But they are stalwart socialists	stalwart socialists	He was back in jail over the summer on shoplifting charges	0	20	But they are stalwart socialists[SEP] stalwart socialists[SEP]He was back in jail over the summer on shop
And the naczelnik shuts his door	his door	The transaction is subject to a definitive agreement and approval by Ideal shareholders	0	25	And the naczelnik shuts his door[SEP] his door[SEP]The transaction is subject to a definitive agreement and approval by Ideal shareholders
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	32	26	nan
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	The scientists have experimented on the tiny neck arteries of rats	36	31	nan
Wall Street generally likes the industry again	the industry	This bias is in no way deliberate	0	0	Wall
Total return is price changes plus interest income	price changes plus interest income	The bikes are unwelcome on trails in national parks	0	13	Total return is price changes plus interest income[SEP] price changes plus interest income
The Ministry of Agriculture and Fishery actually is a ministry for farmers and fishermen instead of a ministry of provisions	a ministry for farmers and fishermen instead of a ministry of provisions	Judith Valente contributed to this article	28	31	instead of a ministry
Whittle has met some resistance	some resistance	This has led them in a fruitless and destructive policy circle	0	0	Wh
Fog shrouded the base before touchdown	the base	The bikes are unwelcome on trails in national parks	1	19	og shrouded the base before touchdown[SEP] the base[SEP]The bikes are unwelcome on trails in national parks
One bank stock was a winner	a winner	The company is active in office and residential development in New York	20	0	nan
Conner already is shipping its new drives	its new drives	The board expands to seven members	10	0	nan
And it left mixed signals for London	mixed signals	The fund invests mainly in gold and silver bullion	0	0	And
Other furriers have also placed more weight on retailing	more weight	At least half that growth will have come in the past three years alone	12	27	more weight[SEP]At least half that growth will have come in the past three years
The fund made a similar move earlier this year	a similar move	Glenn Hall contributed to this article	11	0	nan
He previously held posts of senior vice president of compliance and senior vice president and general counsel	posts of senior vice president of compliance and senior vice president and general counsel	For months the resistance has been defenseless against air attack	41	24	nan
The executive branch bears the first responsibility for timidity	the first responsibility for timidity	All this is causing convulsions in professional football	26	24	nan
But the firm has never had a day like yesterday	a day like yesterday	The lack of any new cash probably would still leave the banks dissatisfied	20	21	new cash
Then he would move his movement to Europe	his movement	He sits down at the piano and plays	0	0	Then
The pool invested idle cash for many state agencies and local governments	idle cash	The transaction is subject to a definitive agreement and approval by Ideal shareholders	28	17	nan
The British economy is hardly the picture of health these days	the picture of health	The lack of any new cash probably would still leave the banks dissatisfied	21	22	new cash
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	He can live with little pleasures	23	0	nan
The infusion of activists can bring a clash of cultures	a clash of cultures	We were out of the box	0	0	The
But such a combination also presents great risks	great risks	The expansion is subject to approval by federal and Wisconsin environmental regulators	19	17	nan
She was the child of relative privilege	the child of relative privilege	Stock prices fell sharply in active trading	17	15	nan
Athena eventually acquired exclusive rights to the technology and currently is developing it	exclusive rights to the technology	Tom Herman contributed to this article	0	0	At
The two sides now are accusing each other of lying	each other	The trial begins today in federal court in Philadelphia	19	0	nan
Hostile takeovers are quite a new phenomenon	quite a new phenomenon	Most sleep on the floor	12	0	nan
They note that stocks experienced volatile swings long before futures	volatile swings	The New York company called the lawsuit without merit	22	0	nan
Funds for drilling may inch up more next year if oil prices stay stable	next year	But New York City general obligation bonds came under selling pressure	7	28	more next year if oil prices stay stable[SEP] next year[SEP]But New York City general obligation bonds came under selling
But Trelleborg still must clear some tough hurdles	some tough hurdles	Everyone falls in love with everyone else	19	0	nan
He said that the research team had no financial stake in the drug	no financial stake in the drug	In the end politics got in the way	16	24	stake in the drug[SEP]In the end politics
The West Germans then took over and finally found Markus Hess	Markus Hess	The youthful audience for Saturday programming is no longer dependent on the networks	23	0	nan
Judges will write the real bill as suits roll through the courts	the real bill	Both firms are in New York	0	19	Judges will write the real bill as suits roll through the courts[SEP] the real bill[SEP]Both firms
It is hoped that other Japanese would then follow the leader	the leader	The fund invests mainly in gold and silver bullion	13	23	leader[SEP]The fund invests mainly in gold and silver bull
They note that stocks experienced volatile swings long before futures	volatile swings	He does this in at least three of his solo pieces	23	0	nan
Traders are already buckling their seat belts	their seat belts	The biggest flurry of investor activity came early in the day	1	18	aders are already buckling their seat belts[SEP] their seat belts[SEP]The biggest flurry of investor
And many have done just that	just that	But then they wake up to a nightmare	14	17	up to a nightmare
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	21	25	increase in revenue[SEP] sales
It is hoped that other Japanese would then follow the leader	the leader	Not only Californians but all Americans would pay if this thing passed	13	27	leader[SEP]Not only Californians but all Americans would pay if this thing passed
Traders can vary their strategies and execute their orders in any one of them	their strategies	The figures are at seasonally adjusted annual rates in trillions of dollars	25	31	adjusted annual rates in trillions of dollars
Others had lesser damage and there were no injuries among workers	lesser damage	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	12	26	lesser damage[SEP]Prices on the Frankfurt Stock Exchange tumbled in heavy trading
Fog shrouded the base before touchdown	the base	Bond prices were little changed in sluggish activity	1	13	og shrouded the base before touchdown[SEP] the base[SEP]Bond prices
Foreign auto makers are taking the Tokyo Motor Show more seriously than ever	the Tokyo Motor Show	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	9	22	more seriously than ever[SEP] the Tokyo Motor Show[SEP]Democrats had been negotiating
The infusion of activists can bring a clash of cultures	a clash of cultures	This of course led to disaster in New York City	23	21	nan
The struggle over capital gains is the most important game in town	the most important game in town	The lonely woman walks on in the direction of the Plaza de Alonso Martinez	33	32	nan
And the naczelnik shuts his door	his door	The scientists have experimented on the tiny neck arteries of rats	0	23	And the naczelnik shuts his door[SEP] his door[SEP]The scientists have experimented on the tiny neck arteries of rats
The struggle over capital gains is the most important game in town	the most important game in town	The result is that the unthinkable and illogical are happening	28	25	nan
Labor problems top the list	the list	The interviews took place two years ago	0	0	Labor
Bolar has denied any wrongdoing	any wrongdoing	Glenn Hall contributed to this article	0	0	B
They have about seven candidates	about seven candidates	The stock market reacted strongly to the news	0	0	They
Colgate sold its hospital supply and home health care business last year	its hospital supply and home health care business	The biggest flurry of investor activity came early in the day	0	21	Colgate sold its hospital supply and home health care business last year[SEP] its hospital supply and home health care business
Some funds are posting yields far higher than the average	yields far higher than the average	Institutional investors mostly remained on the sidelines Tuesday	13	20	higher than the average[SEP]Institutional investors
The company outpaced much of the chemical industry as annual profit grew fivefold in two years	much of the chemical industry	Some companies are cutting costs and hoping for the best	34	11	nan
The resulting stockpiling has depressed the market	the market	Defaults on Veterans Affairs loan guarantees have quadrupled in the past eight years	20	16	nan
Most will stay open late Saturday night and open their doors again Sunday	Saturday night	It expects any impact on its business to be slight	26	23	nan
And many have done just that	just that	He will remain on the Banc One board	16	0	nan
The fund made a similar move earlier this year	a similar move	Rents have soared along with house prices	17	21	soared along with house prices
Total return is price changes plus interest income	price changes plus interest income	Peter Pae in Pittsburgh contributed to this article	0	13	Total return is price changes plus interest income[SEP] price changes plus interest income
Bolar has denied any wrongdoing	any wrongdoing	The prospect of such a takeover fight has sent Jaguar shares soaring in recent weeks	21	19	nan
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	the company	They speak volumes about the state of our society at a given moment	30	20	nan
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	His boss complained about neglect of other chores	16	18	smaller technology companies
Americans may not be so lucky the next time	the next time	The agreement is subject to completion of a definitive amendment and appropriate approvals	25	26	appropriate approvals
Last week the British displayed unusual political immaturity	unusual political immaturity	The company is active in office and residential development in New York	15	0	nan
There were no major Eurobond or foreign bond offerings in Europe Friday	no major Eurobond or foreign bond offerings	Laurie McGinley contributed to this article	28	23	nan
Van Nghe quickly made influential enemies	influential enemies	Yet her intensity stops and starts with the music	0	0	Van
She held her fire with her first production at the Trinity earlier this season	her fire	Panic frequently results in irrational behavior	11	0	nan
The British economy is hardly the picture of health these days	the picture of health	Such animosity could prove pivotal in the union vote	0	25	The British economy is hardly the picture of health these days[SEP] the picture of health[SEP]Such animosity could prove pivotal in the union vote
Maybe it was their peculiar sense of history	their peculiar sense of history	But then the noise turned into a roar	0	18	Maybe it was their peculiar sense of history[SEP] their peculiar sense of history[SEP]But then the noise
The company cited sales gains at its Milton Bradley and Playskool units and in its international business for the increase in revenue	sales gains at its Milton Bradley and Playskool units and in its international business	It shows a boy hurling rocks at a street lamp	21	25	increase in revenue[SEP] sales
Whittle has met some resistance	some resistance	For months the resistance has been defenseless against air attack	18	0	nan
We are the producers of that movie	the producers of that movie	The dollar gained against most foreign currencies	0	20	We are the producers of that movie[SEP] the producers of that movie[SEP]The dollar gained against most foreign currencies
The Northeast has been holding its own in the population race	its own	But some analysts remain sour on the company	0	17	The Northeast has been holding its own in the population race[SEP] its own[SEP]But some analysts
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	The four lawyers climbed out from under a table	16	18	smaller technology companies
Their ridicule of him is no substitute for argument	no substitute for argument	Some would make even James Bond green with envy	21	0	nan
And it left mixed signals for London	mixed signals	His interest in the natural environment dates from his youth	16	17	environment dates
But the firm has never had a day like yesterday	a day like yesterday	The dollar rose modestly against most major currencies	18	24	rose modestly against most major currencies
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	Glenn Hall contributed to this article	21	22	new titles
The trust will issue the certificates	the certificates	This has led them in a fruitless and destructive policy circle	0	19	The trust will issue the certificates[SEP] the certificates[SEP]This has led them in a fruitless and destructive
And many have done just that	just that	The company develops and markets products for the food service industry	0	15	And many have done just that[SEP] just that[SEP]The company develops and markets products
The service supplies weekly reports on school and college construction plans	weekly reports on school and college construction plans	The uncertainty is sending shivers through Brazilian financial markets	17	26	college construction plans[SEP]The uncertainty is sending shivers
And CenTrust has other problems	other problems	The post had been vacant for more than a year	17	0	nan
But weak car sales raise questions about future demand from the auto sector	questions about future demand from the auto sector	People have been very respectful of each other	16	3	nan
Their ridicule of him is no substitute for argument	no substitute for argument	The stock market is certainly not too big for the Fed to handle	0	27	Their ridicule of him is no substitute for argument[SEP] no substitute for argument[SEP]The stock market is certainly not too big for the Fed to handle
Colgate sold its hospital supply and home health care business last year	its hospital supply and home health care business	Buyers stepped in to the futures pit	25	23	nan
He visits the same department every two or three weeks	the same department	Both issues are among the most popular with individual investors	12	24	same department[SEP]Both issues are among the most popular with individual investors
The merger requires the approval of Norwegian authorities	the approval of Norwegian authorities	Inco shares fell after the announcements	0	21	The merger requires the approval of Norwegian authorities[SEP] the approval of Norwegian authorities[SEP]Inco shares fell after the announcements
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	That went over the permissible line for warm and fuzzy feelings	10	23	increased demand for its systems productivity software[SEP] much of the growth in earnings
It also will hand Unilab new markets	new markets	Abortion via the pill is far more of an ordeal than conventional surgical abortion	20	14	nan
Bolar has denied any wrongdoing	any wrongdoing	The talks came as Lebanese negotiations on political changes appeared deadlocked	20	15	nan
The House bill also distorts economic efficiency in all sorts of perverse ways	economic efficiency	He does this in at least three of his solo pieces	27	16	nan
Others had lesser damage and there were no injuries among workers	lesser damage	The battle for customer loyalty is evident along the Cobb Parkway strip	12	18	lesser damage[SEP]The battle for customer
Most other states have enacted similar bans	similar bans	The remainder of the house leans precariously against a sturdy oak tree	8	9	similar bans
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	London shares closed moderately lower in thin trading	32	35	lower in thin trading
No sophisticated professional expects economists to be right all the time	all the time	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	23	31	Nuys and Oklahoma City uncertain about their futures
He had been vice president in that office	vice president in that office	The dollar rose against the Swiss and French francs	17	0	nan
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	They lied to me on the recruiting trip	20	34	more undamaged California refineries[SEP]They lied to me on the recruiting
Van Nghe quickly made influential enemies	influential enemies	Tom Herman contributed to this article	0	0	Van
It also inevitably leaves a residue of shareholder lawsuits	a residue of shareholder lawsuits	We were out of the box	0	14	It also inevitably leaves a residue of shareholder lawsuits[SEP] a residue of shareholder lawsuits
Other gainers were companies with one or more undamaged California refineries	companies with one or more undamaged California refineries	Most sleep on the floor	20	16	nan
The suit seeks unspecified damages	unspecified damages	The lack of any new cash probably would still leave the banks dissatisfied	13	14	new cash
The relative calm in Tokyo proved little comfort to markets opening up in Europe	little comfort to markets opening up in Europe	The state can also bar Drexel as an investment adviser	20	34	up in Europe[SEP]The state can also bar Drexel as an investment
She was the child of relative privilege	the child of relative privilege	She has also served on several task forces on acquired immune deficiency syndrome	11	23	relative privilege[SEP]She has also served on several task forces on acquired
The West Germans then took over and finally found Markus Hess	Markus Hess	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	22	30	Nuys and Oklahoma City uncertain about their futures
He visits the same department every two or three weeks	the same department	Two workers died and six remain in the hospital	12	1	nan
The failed rights issue also should have a modest impact on British Air shares	a modest impact on British Air shares	The stock market is certainly not too big for the Fed to handle	16	21	modest impact on British Air shares
The West Germans then took over and finally found Markus Hess	Markus Hess	Revenue doubled from two years ago	17	16	nan
The pool invested idle cash for many state agencies and local governments	idle cash	The bond market was unmoved by the economic statistics	21	14	nan
The egg producers also lobbied the Food and Drug Administration	the Food and Drug Administration	This kind of contingency analysis is common in war planning and business planning	23	28	common in war planning and business
The success of newcomer SsangYong Motor shows the strength of the auto market and its growing diversity	the strength of the auto market and its growing diversity	The dollar rose modestly against most major currencies	35	41	rose modestly against most major currencies
The Bakersfield Supermarket went out of business last May	last May	Business was slow because many companies were closed yesterday	0	16	The Bakersfield Supermarket went out of business last May[SEP] last May[SEP]Business
We are the producers of that movie	the producers of that movie	The case went on appeal to the Second Circuit	0	18	We are the producers of that movie[SEP] the producers of that movie[SEP]The case went on appeal
But such a combination also presents great risks	great risks	The biggest flurry of investor activity came early in the day	22	17	nan
He visits the same department every two or three weeks	the same department	But critics consider the changes regressive	12	21	same department[SEP]But critics consider the changes regressive
She was the child of relative privilege	the child of relative privilege	But some Wall Street executives argue that such fears are unwarranted	11	18	relative privilege[SEP]But some Wall Street executives
She held her fire with her first production at the Trinity earlier this season	her fire	But attendance is down from previous years	11	19	earlier this season[SEP] her fire[SEP]But attendance
Arm troubles forced him back to the minors the next year	the next year	The board expands to seven members	13	0	nan
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	It all adds up to a cold winter here	30	21	nan
The struggle over capital gains is the most important game in town	the most important game in town	Two workers died and six remain in the hospital	0	21	The struggle over capital gains is the most important game in town[SEP] the most important game in town[SEP]Two workers
The infusion of activists can bring a clash of cultures	a clash of cultures	The board will be made up of seven directors of each holding company	21	24	up of seven directors
It was a Friday in June	a Friday in June	Glenn Hall contributed to this article	0	0	It
This is not the case	the case	Motorola is in good company	10	0	nan
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	Yet he has proved more resilient than any of them	16	18	smaller technology companies
Whittle has met some resistance	some resistance	Inflation is at record levels	15	0	nan
The West Germans then took over and finally found Markus Hess	Markus Hess	The agreement is subject to completion of a definitive amendment and appropriate approvals	26	27	appropriate approvals
Nobody has any credible estimate	any credible estimate	Judith Valente contributed to this article	0	0	Nobody
Her story is becoming part of local folklore	part of local folklore	The battle for customer loyalty is evident along the Cobb Parkway strip	0	17	Her story is becoming part of local folklore[SEP] part of local folklore[SEP]The battle for customer
There were no major Eurobond or foreign bond offerings in Europe Friday	no major Eurobond or foreign bond offerings	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	28	30	mixed as contracts
But weak car sales raise questions about future demand from the auto sector	questions about future demand from the auto sector	Yet her intensity stops and starts with the music	16	3	nan
Most will stay open late Saturday night and open their doors again Sunday	Saturday night	Reform starts in the Pentagon	0	0	Most
The fund made a similar move earlier this year	a similar move	Several other Japanese companies and regional governments have sent aid to San Francisco	11	17	similar move[SEP]Several other Japanese companies
But the firm has never had a day like yesterday	a day like yesterday	No one has alleged that the donations were by themselves illegal	0	22	But the firm has never had a day like yesterday[SEP] a day like yesterday[SEP]No one has alleged that the donations
Such armor crushes the soldier	the soldier	Democrats had been negotiating with some Republican congressional leaders on a compromise lately	0	13	Such armor crushes the soldier[SEP] the soldier[SEP]Democrats had been negotiating
The House version of the bill does include the tax cut	the tax cut	The lawyers are now in charge of our national security	23	25	our national security
Last week the British displayed unusual political immaturity	unusual political immaturity	Abortion via the pill is far more of an ordeal than conventional surgical abortion	24	18	nan
Wall Street generally likes the industry again	the industry	His interest in the natural environment dates from his youth	0	17	Wall Street generally likes the industry again[SEP] the industry[SEP]His interest in the natural environment dates
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	The youthful audience for Saturday programming is no longer dependent on the networks	32	22	nan
Aussedat Rey is a leading French maker of copying and electronic printing paper	a leading French maker of copying and electronic printing paper	Yet he has proved more resilient than any of them	31	21	nan
Van Nghe quickly made influential enemies	influential enemies	His credibility is also on the line in the investment community	0	20	Van Nghe quickly made influential enemies[SEP] influential enemies[SEP]His credibility is also on the line in the investment
It is hoped that other Japanese would then follow the leader	the leader	The company can go about its business	13	21	leader[SEP]The company can go about its business
Traders can vary their strategies and execute their orders in any one of them	their strategies	But most lawyers accept that the marketplace has spoken	1	25	aders can vary their strategies and execute their orders in any one of them[SEP] their strategies[SEP]But most lawyers accept that the marketplace
Whittle has met some resistance	some resistance	These securities are attractive to Japanese investors for three reasons	18	16	nan
Nobody has any credible estimate	any credible estimate	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	17	25	Nuys and Oklahoma City uncertain about their futures
The third principal in the South Gardens adventure did have garden experience	garden experience	Major European auction houses are turning increasingly to specialized sales	25	25	sales
The exchange was all the more remarkable in that authorities released television footage to Western news agencies	television footage	Foreign bonds surged as the dollar weakened against most major currencies	27	31	weakened against most major currencies
The suit seeks unspecified damages	unspecified damages	Poverty remains far more widespread among blacks than other Americans	13	0	nan
That theme has been a recurring one for Soviet military officials for much of this year	a recurring one	Market conditions point to even lower prices next year	26	27	lower prices
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	The dollar gained against most foreign currencies	26	17	nan
They are awaiting an arbitration proceeding	an arbitration proceeding	Not only Californians but all Americans would pay if this thing passed	0	23	They are awaiting an arbitration proceeding[SEP] an arbitration proceeding[SEP]Not only Californians but all Americans would pay if this thing passed
New telephone lines posted healthy growth	healthy growth	Many resorts also are focusing more on the service side of their business	15	22	more on the service side of their business
Most other states have enacted similar bans	similar bans	But that was all of three months ago	8	9	similar bans
The fund made a similar move earlier this year	a similar move	Those viewers find the show confusing	11	18	similar move[SEP]Those viewers find the show
But the firm has never had a day like yesterday	a day like yesterday	That figure has been inching up for several years	22	25	up for several years
But its surprising progress so far holds important lessons for companies in trouble	important lessons for companies in trouble	But the market turmoil could be partially beneficial for some small businesses	31	32	small businesses
Now at least one Japanese company is turning the courtroom tables	the courtroom tables	She was as cool as a cucumber	0	23	Now at least one Japanese company is turning the courtroom tables[SEP] the courtroom tables[SEP]She was as cool as a cucumber
This is a story about suckers	a story about suckers	His hands sit farther apart on the keyboard	17	0	nan
But the firm also tracks smaller technology companies as a subset of the larger group	smaller technology companies	But such skills were alien to Toni Johnson	16	18	smaller technology companies
Some funds are posting yields far higher than the average	yields far higher than the average	The machine began shipping at the end of last year	13	21	higher than the average[SEP]The machine began shipping
The companies reached an agreement in principle for the sale in August	an agreement in principle for the sale	The bikes are unwelcome on trails in national parks	16	19	principle for the sale
But this raises added cost barriers to urban entrepreneurship	added cost barriers to urban entrepreneurship	Several other Japanese companies and regional governments have sent aid to San Francisco	18	20	other Japanese companies
Developers are also eyeing the real estate portfolios of major corporations	the real estate portfolios of major corporations	The transaction is subject to a definitive agreement and approval by Ideal shareholders	0	22	Developers are also eyeing the real estate portfolios of major corporations[SEP] the real estate portfolios of major corporations[SEP]The transaction
He sees a psychoanalyst five mornings a week	a psychoanalyst	But that was all of three months ago	14	22	alyst[SEP]But that was all of three months
Alan Reynolds of Polyconomics adds his suspicion that the unrecognized inflationary culprit is the budget surplus	his suspicion that the unrecognized inflationary culprit is the budget surplus	Foreign bonds surged as the dollar weakened against most major currencies	41	33	nan
Magazine publishers are facing spiraling costs and a glut of new titles	spiraling costs and a glut of new titles	The journalistic consensus was that the earthquake made the World Series seem unimportant	21	22	new titles
Merck is one of the most important stocks in the Major Market Index	one of the most important stocks in the Major Market Index	And most of us waited for a while for the game to start	31	0	nan
Some even see a silver lining in the dark clouds	a silver lining	This pattern was particularly evident among more highly educated couples	21	13	nan
The exchange was all the more remarkable in that authorities released television footage to Western news agencies	television footage	The reality is that Bank finances are rock solid	28	26	nan
Perhaps the most disturbing finding is that the bowling alley may be an endangered American institution	an endangered American institution	The election was by secret ballot in the General Assembly	26	27	secret ballot
Such armor crushes the soldier	the soldier	The government insists that such a possibility is low	18	0	nan
Other furriers have also placed more weight on retailing	more weight	But the brand had trouble from the start	12	17	more weight[SEP]But the brand
But this raises added cost barriers to urban entrepreneurship	added cost barriers to urban entrepreneurship	This bias is in no way deliberate	18	15	nan
No sophisticated professional expects economists to be right all the time	all the time	It shows a boy hurling rocks at a street lamp	22	25	rocks at a street
Traders attributed the action in them largely to defensive positioning in a volatile market	the action in them	Portrait studios have also latched onto the trend	28	28	onto
He gave no further details	no further details	The East German economy is strong compared with other East bloc nations	18	0	nan
The Bakersfield Supermarket went out of business last May	last May	That announcement left union officials in Van Nuys and Oklahoma City uncertain about their futures	23	31	Nuys and Oklahoma City uncertain about their futures
The company attributed much of the growth in earnings to increased demand for its systems productivity software	much of the growth in earnings	Yet he has proved more resilient than any of them	29	23	nan
They are awaiting an arbitration proceeding	an arbitration proceeding	The figures are at seasonally adjusted annual rates in trillions of dollars	23	23	dollars
Some funds are posting yields far higher than the average	yields far higher than the average	The Old Crowd is deeply concerned by the backlash from all this	13	26	higher than the average[SEP]The Old Crowd is deeply concerned by the backlash
The egg producers also lobbied the Food and Drug Administration	the Food and Drug Administration	And most of us waited for a while for the game to start	21	0	nan
More venturesome businesses are applying their skills in commercial fields	their skills	We go from one to the other	21	1	nan
He sees a psychoanalyst five mornings a week	a psychoanalyst	But markets can operate with greater or lesser efficiency	21	24	greater or lesser efficiency
