demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
我给东看看去	我看看去	给东	PP-D3-N1	VP-D2-N1	你快去和他视频吧	你快去视频吧	和他	3	PP-D6-N0	VP-D5-N2
我都去了好几次了	我都去了了	好几次	QP-D4-N3	VP-D3-N2	我就见过好几个这样的人	我就见过这样的人	好几个	4	QP-D5-N0	VP-D3-N2
师傅的诗好不好	诗好不好	师傅的	DNP-D3-N0	NP-D2-N0	俺闺女的好多照片都在里面了	好多照片都在里面了	俺闺女的	0	DNP-D3-N0	NP-D2-N0
原来你是个诗人	原来你是	个诗人	NP-D3-N3	VP-D2-N2	什么叫质感	什么叫	质感	3	NP-D3-N2	VP-D2-N1
我没那么大勇气	我没勇气	那么大	ADJP-D4-N0	NP-D3-N2	国产技术还需要改进下	技术还需要改进下	国产	0	ADJP-D3-N0	NP-D2-N0
我觉得我有时间得好好给你上个课	我觉得我有时间得好好上个课	给你	PP-D7-N2	VP-D6-N3	我和她同岁	我同岁	和她	1	PP-D3-N1	VP-D2-N1
你还真是一步步规划的细密	你还真是规划的细密	一步步	QP-D3-N3	VP-D2-N1	我跟隔壁的用的一根网线	我跟隔壁的用的网线	一根	7	QP-D5-N1	VP-D3-N2
人家一个男生都不着急	人家男生都不着急	一个	QP-D3-N1	NP-D2-N0	一个串口都打不开	串口都打不开	一个	0	QP-D3-N0	NP-D2-N0
以前的同学又还没放假	同学又还没放假	以前的	DNP-D3-N0	NP-D2-N0	我滴钱钱就都飞走鸟	钱钱就都飞走鸟	我滴	0	DNP-D4-N0	NP-D3-N0
我给你关注着	我关注着	给你	PP-D3-N1	VP-D2-N1	嗯我上周给我们部门的人讲课	嗯我上周讲课	给我们部门的人	4	PP-D3-N3	VP-D2-N2
不过我不敢跟她聊这方面	不过我不敢聊这方面	跟她	PP-D5-N0	VP-D4-N2	这个是帖子在校内的分享	这个是帖子的分享	在校内	5	PP-D5-N1	VP-D2-N1
只是肚子比你小多了	只是肚子小多了	比你	PP-D3-N2	VP-D2-N2	风波延烧到政界	风波延烧	到政界	4	PP-D3-N2	VP-D2-N1
他知道这个事	他知道事	这个	DP-D4-N0	NP-D3-N2	所有的悲剧都如此相似	的悲剧都如此相似	所有	0	DP-D4-N0	NP-D2-N0
我对帽子木有兴趣	我木有兴趣	对帽子	PP-D3-N1	VP-D2-N1	谁谁谁又不跟谁谁玩	谁谁谁又不玩	跟谁谁	5	PP-D3-N5	VP-D2-N1
其实他对我很好的	其实他很好的	对我	PP-D4-N2	VP-D3-N2	我自己减少了和他们的交往	我自己减少了的交往	和他们	6	PP-D5-N0	VP-D2-N1
我是说每个女人的心中的标准不同	我是说心中的标准不同	每个女人的	DNP-D8-N0	NP-D7-N0	楼下的继续	继续	楼下的	0	DNP-D3-N0	NP-D2-N0
我一般准备浴巾给他们带去	我一般准备浴巾带去	给他们	PP-D5-N2	VP-D4-N2	民愤如火烧眼皮	民愤烧眼皮	如火	2	PP-D3-N1	VP-D2-N1
星期六的票光了	票光了	星期六的	DNP-D3-N0	NP-D2-N0	我看见好多客户的天线都很简单	我看见天线都很简单	好多客户的	3	DNP-D5-N0	NP-D4-N0
我在这都吃胖了	我都吃胖了	在这	PP-D3-N1	VP-D2-N1	或者我跟老师联系一下	或者我联系一下	跟老师	3	PP-D3-N1	VP-D2-N2
钱对她来说很重要	钱对很重要	她来说	LCP-D4-N1	PP-D3-N1	这个直接在格子里改	这个直接在改	格子里	5	LCP-D4-N2	PP-D3-N2
这个病人肯定之前做过手术	病人肯定之前做过手术	这个	DP-D3-N0	NP-D2-N0	洋插队是什么意思	洋插队是意思	什么	4	DP-D4-N2	NP-D3-N3
我说中了师傅的心思吧	我说中了吧	师傅的心思	NP-D4-N3	VP-D3-N1	你们这是干什么	你们这是干	什么	5	NP-D4-N1	VP-D3-N3
我在区里	我在	区里	LCP-D3-N2	VP-D2-N1	我只能给你问问工程上的同事	我只能给你问问的同事	工程上	7	LCP-D8-N0	VP-D5-N1
心里先有个数	心里先有	个数	NP-D4-N2	VP-D3-N2	我是来等你给我刷信誉滴亲	我是来等你给我刷滴亲	信誉	8	NP-D9-N3	VP-D8-N2
龙没有特价票	龙没有	特价票	NP-D3-N2	VP-D2-N1	我回去用电脑看看	我回去用看看	电脑	4	NP-D5-N1	VP-D3-N2
我给东看看去	我看看去	给东	PP-D3-N1	VP-D2-N1	我再给他打个电话问问你	我再打个电话问问你	给他	2	PP-D3-N2	VP-D2-N1
我感觉你身上有他的影子	我感觉你身上有影子	他的	DNP-D6-N2	NP-D5-N3	上下水是房间的大头	上下水是大头	房间的	4	DNP-D4-N0	NP-D3-N2
这个是耳鼻喉科的手术申请单	这个是	耳鼻喉科的手术申请单	NP-D3-N2	VP-D2-N1	我去过那里	我去过	那里	3	NP-D3-N3	VP-D2-N1
你在哪工作	你工作	在哪	PP-D3-N1	VP-D2-N1	她精力就不会集中在那个	她精力就不会集中	在那个	8	PP-D5-N1	VP-D4-N5
雇主雇员应订定暴雨下工作守则	雇主雇员应订定工作守则	暴雨下	LCP-D5-N0	NP-D4-N1	我只能给你问问工程上的同事	我只能给你问问的同事	工程上	7	LCP-D8-N0	NP-D6-N3
我过几天吧	我过吧	几天	QP-D4-N2	VP-D3-N1	反正我找了一个	反正我找了	一个	5	QP-D3-N4	VP-D2-N2
以前我每天早上都路过的	以前我早上都路过的	每天	DP-D5-N0	NP-D4-N2	你在那座城市	你在城市	那座	2	DP-D4-N0	NP-D3-N2
我今天下午困死了	我困死了	今天下午	NP-D3-N1	VP-D2-N1	他怎么跟文科班扯上关系了	他怎么跟扯上关系了	文科班	4	NP-D4-N2	VP-D2-N1
你给我报个价吧	你给我报吧	个价	NP-D5-N3	VP-D4-N2	问题是我现在刚来	问题是我刚来	现在	4	NP-D5-N1	VP-D4-N1
你发到我信箱吧	你发到吧	我信箱	NP-D4-N2	VP-D3-N1	明天我们会举行聚会	明天我们会举行	聚会	7	NP-D4-N1	VP-D3-N3
我说中了师傅的心思吧	我说中了吧	师傅的心思	NP-D4-N3	VP-D3-N1	我那没有那些康乐消费	我那没有	那些康乐消费	4	NP-D3-N3	VP-D2-N1
你要相信你女朋友	你要相信	你女朋友	NP-D4-N1	VP-D3-N2	家庭比事业重要	家庭比重要	事业	3	NP-D4-N1	VP-D2-N1
老人一个个的都是这么办的	老人一的都是这么办的	个个	CLP-D6-N1	QP-D5-N2	怎么一个个都这么厉害	怎么一都这么厉害	个个	3	CLP-D3-N2	QP-D2-N1
但是我冒得你滴恒心列	但是我冒得列	你滴恒心	NP-D4-N3	VP-D3-N2	我更是门外汉	我更是	门外汉	3	NP-D4-N2	VP-D3-N2
奶妈终于在微信上出现了	奶妈终于出现了	在微信上	PP-D3-N2	VP-D2-N1	万事不以换字为目的	万事不为目的	以换字	3	PP-D3-N3	VP-D2-N1
你跟家里商量一下	你商量一下	跟家里	PP-D3-N1	VP-D2-N1	我老公一直在外地工作	我老公一直工作	在外地	5	PP-D3-N3	VP-D2-N1
你的目标客户是学生	目标客户是学生	你的	DNP-D3-N0	NP-D2-N0	你再看一次我的提问	你再看一次提问	我的	5	DNP-D5-N2	NP-D4-N3
他们给我推荐了一个童言国际	他们给我推荐了	一个童言国际	NP-D4-N4	VP-D3-N2	遗传也有可能	遗传也有	可能	4	NP-D4-N2	VP-D3-N2
那你现在一个月的收入大概是多少	那你现在的收入大概是多少	一个月	NP-D4-N2	DNP-D3-N3	那他不是不跟你们的行程一样了	那他不是不跟的行程一样了	你们	6	NP-D8-N0	DNP-D7-N0
我早上收到你短信了	我早上收到了	你短信	NP-D4-N2	VP-D3-N2	你看我身边的老乡	你看	我身边的老乡	2	NP-D3-N2	VP-D2-N1
我给东看看去	我看看去	给东	PP-D3-N1	VP-D2-N1	她前一段时间在幼儿园打工	她前一段时间打工	在幼儿园	6	PP-D3-N2	VP-D2-N1
你能接受什么价位的	你能接受	什么价位的	NP-D4-N1	VP-D3-N2	还是你去银行办	还是你去办	银行	4	NP-D5-N1	VP-D4-N1
金钱豹的铁板烧没有了	铁板烧没有了	金钱豹的	DNP-D3-N0	NP-D2-N0	哎这伤心是一时的	哎这伤心是	一时的	5	DNP-D4-N2	NP-D3-N4
那是理想国	那是	理想国	NP-D3-N2	VP-D2-N1	你啥时候来	你来	啥时候	1	NP-D3-N1	VP-D2-N1
每个人不能避免	人不能避免	每个	DP-D3-N0	NP-D2-N0	这个时候孩子上课上完了	时候孩子上课上完了	这个	0	DP-D3-N0	NP-D2-N0
我姐比你大一岁	我姐大一岁	比你	PP-D3-N2	VP-D2-N1	你跟家里商量一下	你商量一下	跟家里	1	PP-D3-N1	VP-D2-N1
她已经给我说了	她已经说了	给我	PP-D3-N2	VP-D2-N1	我刚才给他发信息他没有回应	我刚才发信息他没有回应	给他	3	PP-D4-N2	VP-D3-N1
这一季我都没追全	这我都没追全	一季	QP-D3-N1	DP-D2-N0	这个是另外一个	这个是另外	一个	5	QP-D4-N1	DP-D3-N2
贪字头上一把刀	头上一把刀	贪字	NP-D3-N0	LCP-D2-N0	行李放在大巴上	行李放在上	大巴	4	NP-D5-N0	LCP-D4-N1
我就在电脑随便找了一张	我就随便找了一张	在电脑	PP-D3-N2	VP-D2-N1	我回去用电脑看看	我回去看看	用电脑	3	PP-D4-N1	VP-D3-N2
订座系统在我们手里	订座系统在	我们手里	LCP-D3-N3	VP-D2-N1	那你的心还是在情绪里	那你的心还是在	情绪里	7	LCP-D5-N2	VP-D3-N4
师傅的心在师母身上	心在师母身上	师傅的	DNP-D3-N0	NP-D2-N0	我有招行的储蓄卡	我有储蓄卡	招行的	2	DNP-D4-N0	NP-D3-N2
最好我们以后能在一个编辑室	最好我们以后能在	一个编辑室	NP-D5-N1	VP-D4-N2	我同事说我的外套都没型	我同事说都没型	我的外套	4	NP-D4-N0	VP-D2-N1
这个公司太坑了	公司太坑了	这个	DP-D3-N0	NP-D2-N0	有的标间床很小	标间床很小	有的	0	DP-D3-N0	NP-D2-N0
他们这几天可能去我小姨那里了	他们可能去我小姨那里了	这几天	DP-D3-N1	VP-D2-N1	他知道这个事	他知道事	这个	3	DP-D4-N0	VP-D2-N1
这样的人不会全情投入去爱一个人	这样的人不会全情投入去爱人	一个	QP-D9-N0	NP-D8-N1	她前一段时间在幼儿园打工	她前时间在幼儿园打工	一段	2	QP-D5-N1	NP-D3-N1
你在哪工作	你工作	在哪	PP-D3-N1	VP-D2-N1	我给你打过去就是	我打过去就是	给你	1	PP-D4-N1	VP-D3-N1
结果是读者凑钱以他的名义捐的	结果是读者凑钱捐的	以他的名义	PP-D7-N1	VP-D6-N2	我等下跟你弄	我等下弄	跟你	3	PP-D3-N2	VP-D2-N1
它的副董是我的同学	它的副董是	我的同学	NP-D3-N3	VP-D2-N1	她的风格是休闲式	她的风格是	休闲式	5	NP-D3-N3	VP-D2-N1
最近我们这里下了很多场大雪	最近我们这里下了大雪	很多场	QP-D4-N0	NP-D3-N5	只不过大部分人有些特殊需求	只不过人有些特殊需求	大部分	3	QP-D3-N1	NP-D2-N1
你是项目的骨干	你是骨干	项目的	DNP-D4-N0	NP-D3-N2	所以有人说我是思想上的巨人	所以有人说我是巨人	思想上的	7	DNP-D8-N0	NP-D7-N2
那个小姑娘现在是学院的收银	那个小姑娘现在是收银	学院的	DNP-D5-N1	NP-D4-N6	文科班的男生都不错	男生都不错	文科班的	0	DNP-D3-N0	NP-D2-N0
我只听过他家的卸妆油	我只听过卸妆油	他家的	DNP-D5-N0	NP-D4-N3	那门课的成绩就是专四成绩	成绩就是专四成绩	那门课的	0	DNP-D3-N0	NP-D2-N0
我开车一趟就买回来了	我开车就买回来了	一趟	QP-D4-N1	VP-D3-N1	你还真是一步步规划的细密	你还真是规划的细密	一步步	4	QP-D3-N3	VP-D2-N1
你们这个行业好多人不都用笔名嘛	你们行业好多人不都用笔名嘛	这个	DP-D4-N1	NP-D3-N0	哪个网站不用交定金	网站不用交定金	哪个	0	DP-D3-N0	NP-D2-N0
这个不是我的	这个不是	我的	NP-D4-N2	VP-D3-N2	原来你是个诗人	原来你是	个诗人	4	NP-D3-N3	VP-D2-N2
你看我身边的老乡	你看老乡	我身边的	DNP-D4-N0	NP-D3-N2	我是借用你的话	我是借用话	你的	4	DNP-D5-N0	NP-D4-N1
女孩子的都很漂亮	的都很漂亮	女孩子	NP-D4-N0	DNP-D3-N0	火女之类的都可以出	火女的都可以出	之类	2	NP-D5-N0	DNP-D4-N1
这是互相的	这是	互相的	NP-D3-N2	VP-D2-N1	江山惨烂总高潮	江山惨烂	总高潮	4	NP-D3-N2	VP-D2-N1
你们这种工作难免有应酬	你们工作难免有应酬	这种	DP-D3-N1	NP-D2-N0	现在你用什么模块	现在你用模块	什么	4	DP-D4-N0	NP-D3-N3
那条路爱堵车	路爱堵车	那条	DP-D3-N0	NP-D2-N0	这个行业对我来说特别陌生	行业对我来说特别陌生	这个	0	DP-D3-N0	NP-D2-N0
你在哪里学的	你学的	在哪里	PP-D4-N1	VP-D3-N1	那个人跟我联系了	那个人联系了	跟我	3	PP-D3-N2	VP-D2-N1
我会和我同事分享的	我会和分享的	我同事	NP-D6-N1	PP-D5-N0	你们一家的照片比我的还多	你们一家的照片比还多	我的	8	NP-D4-N5	PP-D3-N3
你们去年可能是校展的时候来的吧	你们去年可能是来的吧	校展的时候	NP-D8-N0	VP-D7-N1	从此我改变了看法	从此我改变了	看法	6	NP-D3-N4	VP-D2-N2
那里有没有华人同事	那里有没有	华人同事	NP-D3-N2	VP-D2-N1	我的想法是房间配上电脑	我的想法是配上电脑	房间	5	NP-D4-N3	VP-D2-N1
她这个人是这样的	她人是这样的	这个	DP-D4-N1	NP-D3-N0	这个地方在海边	地方在海边	这个	0	DP-D3-N0	NP-D2-N0
他对女生很害羞	他很害羞	对女生	PP-D3-N1	VP-D2-N1	这个行业对我来说特别陌生	这个行业特别陌生	对我来说	4	PP-D3-N2	VP-D2-N1
我给你晚安的	我晚安的	给你	PP-D4-N1	VP-D3-N1	我现在彻底不跟他联系了	我现在彻底不联系了	跟他	6	PP-D3-N4	VP-D2-N1
我是海派婚纱争艳	我是	海派婚纱争艳	NP-D3-N2	VP-D2-N1	人家是平时太委屈了	人家是太委屈了	平时	3	NP-D4-N0	VP-D3-N2
我懂他的意思	我懂意思	他的	DNP-D4-N0	NP-D3-N2	呜呜白的卖没了	呜呜卖没了	白的	2	DNP-D3-N1	NP-D2-N1
星期六的票光了	票光了	星期六的	DNP-D3-N0	NP-D2-N0	嗯我上周给我们部门的人讲课	嗯我上周给人讲课	我们部门的	5	DNP-D5-N1	NP-D4-N3
基本她没管家庭和小孩	基本她没管	家庭和小孩	NP-D4-N2	VP-D3-N3	你跟他们说我们有瓶他们就给换了	你跟说我们有瓶他们就给换了	他们	2	NP-D5-N1	VP-D3-N1
好汉不提当年勇	好汉不提	当年勇	NP-D4-N2	VP-D3-N2	我希望他又主见	我希望他又	主见	5	NP-D5-N2	VP-D4-N1
你中午回家吃点药吧	你中午回家吃吧	点药	NP-D6-N2	VP-D5-N2	我就是这样	我就是	这样	3	NP-D4-N2	VP-D3-N2
我又带进来一个败家娘们	我又带进来	一个败家娘们	NP-D4-N2	VP-D3-N2	蜡烛两头烧	蜡烛烧	两头	2	NP-D3-N1	VP-D2-N1
下面这家的蛮好看	的蛮好看	下面这家	DP-D4-N0	DNP-D3-N0	你说你们这届的	你说你们的	这届	4	DP-D6-N0	DNP-D5-N1
我的名字霸气吧	名字霸气吧	我的	DNP-D4-N0	NP-D3-N0	我感觉你身上有他的影子	我感觉你身上有影子	他的	7	DNP-D6-N2	NP-D5-N3
俺闺女的好多照片都在里面了	的好多照片都在里面了	俺闺女	NP-D4-N0	DNP-D3-N0	一个孩子的家庭太脆弱了	的家庭太脆弱了	一个孩子	0	NP-D4-N0	DNP-D3-N0
他怎么跟文科班扯上关系了	他怎么扯上关系了	跟文科班	PP-D3-N2	VP-D2-N1	它和启明是一个概念	它是一个概念	和启明	1	PP-D3-N1	VP-D2-N1
那是理想国	那是	理想国	NP-D3-N2	VP-D2-N1	你不知道他的凶样	你不知道	他的凶样	4	NP-D4-N2	VP-D3-N2
我在群里说一下	我说一下	在群里	PP-D3-N1	VP-D2-N1	你每天就给他添一样	你每天就添一样	给他	4	PP-D3-N3	VP-D2-N1
师傅的理解力是超常的	理解力是超常的	师傅的	DNP-D4-N0	NP-D3-N0	那他不是不跟你们的行程一样了	那他不是不跟行程一样了	你们的	6	DNP-D7-N0	NP-D6-N2
我的那个也是很粗浅的	那个也是很粗浅的	我的	DNP-D4-N0	NP-D3-N0	现在的我有点后怕了	我有点后怕了	现在的	0	DNP-D3-N0	NP-D2-N0
怎么一个个都这么厉害	怎么一都这么厉害	个个	CLP-D3-N2	QP-D2-N1	老人一个个的都是这么办的	老人一的都是这么办的	个个	3	CLP-D6-N1	QP-D5-N2
帝国归顺山河的吉姆了	帝国归顺了	山河的吉姆	NP-D3-N2	VP-D2-N1	我这里下大雨	我这里下	大雨	4	NP-D3-N3	VP-D2-N1
这个病人肯定之前做过手术	病人肯定之前做过手术	这个	DP-D3-N0	NP-D2-N0	所有历史背景都是虚构的	历史背景都是虚构的	所有	0	DP-D4-N0	NP-D3-N0
你要用护士的工号	你要用	护士的工号	NP-D4-N1	VP-D3-N2	我可没那么多钱	我可没	那么多钱	3	NP-D4-N2	VP-D3-N2
你再等几天吧	你再等吧	几天	QP-D5-N2	VP-D4-N2	你还真是一步步规划的细密	你还真是规划的细密	一步步	4	QP-D3-N3	VP-D2-N1
我滴钱钱就都飞走鸟	钱钱就都飞走鸟	我滴	DNP-D4-N0	NP-D3-N0	我们滴也没有	也没有	我们滴	0	DNP-D3-N0	NP-D2-N0
小兵立大功	小兵立	大功	NP-D3-N3	VP-D2-N1	然后大家都对她肚子感兴趣	然后大家都对感兴趣	她肚子	6	NP-D4-N2	VP-D2-N2
贪字头上一把刀	头上一把刀	贪字	NP-D3-N0	LCP-D2-N0	这个直接在格子里改	这个直接在里改	格子	5	NP-D5-N0	LCP-D4-N2
他们刚开会酒店分析会	他们刚开会	酒店分析会	NP-D4-N2	VP-D3-N2	怀孕不是个好活	怀孕不是	个好活	4	NP-D4-N2	VP-D3-N2
这个行业对我来说特别陌生	这个行业特别陌生	对我来说	PP-D3-N2	VP-D2-N1	我在这都吃胖了	我都吃胖了	在这	1	PP-D3-N1	VP-D2-N1
这个人也多想了	人也多想了	这个	DP-D3-N0	NP-D2-N0	那条路爱堵车	路爱堵车	那条	0	DP-D3-N0	NP-D2-N0
那边都差不多的破烂	那边都破烂	差不多的	DVP-D3-N2	VP-D2-N1	我就喜欢妹妹你大胆的往前走	我就喜欢妹妹你往前走	大胆的	7	DVP-D6-N2	VP-D5-N2
我去找我妈吃饭了	我去找吃饭了	我妈	NP-D5-N1	VP-D4-N0	我自己减少了和他们的交往	我自己减少了	和他们的交往	6	NP-D3-N4	VP-D2-N1
这种男人应该没有了快	男人应该没有了快	这种	DP-D3-N0	NP-D2-N0	我也在考虑这个问题	我也在考虑问题	这个	5	DP-D5-N0	NP-D4-N3
