demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
Some nights he slept under his desk	Some nights he slept under	his desk	NP-D3-N1	PP-D2-N4	The lawyers are now in charge of our national security	The lawyers are now in	charge of our national security	5	NP-D3-N2	PP-D2-N4
Now it is their fellow Turks arriving as refugees from Bulgaria	Now it is their fellow Turks arriving from Bulgaria	as refugees	PP-D4-N4	VP-D3-N1	He expects the price for that product to rise even more next year	He expects the price to rise even more next year	for that product	4	PP-D4-N1	VP-D1-N1
She has lots of opinions	She has	lots of opinions	NP-D2-N2	VP-D1-N1	They looked at the miniature and saw a giant folly	They looked at and saw a giant folly	the miniature	3	NP-D4-N1	VP-D2-N1
He expects the price for that product to rise even more next year	He expects the price for that product to rise next year	even more	ADVP-D5-N5	VP-D4-N3	Revenue doubled from two years ago	Revenue doubled from	two years ago	3	ADVP-D3-N1	VP-D1-N1
The report of the bankruptcy filing stunned Hollywood executives and investors	The report of the bankruptcy filing stunned	Hollywood executives and investors	NP-D2-N3	VP-D1-N1	The dollar rose modestly against most major currencies	The dollar rose modestly against	most major currencies	5	NP-D3-N2	VP-D1-N1
The whole structure is extremely shaky	The whole structure is	extremely shaky	ADJP-D2-N4	VP-D1-N1	More people are remaining independent longer presumably because they are better off physically and financially	More people are remaining independent longer presumably because they are physically and financially	better off	10	ADJP-D6-N2	VP-D5-N2
The original owners happily repaid the claim and took their kylix home	The original owners happily repaid the claim and took home	their kylix	NP-D3-N4	VP-D2-N5	The American Stock Exchange listed shares of two companies	The American Stock Exchange listed	shares of two companies	5	NP-D2-N5	VP-D1-N1
It belonged to her grandfather	It belonged to	her grandfather	NP-D3-N1	PP-D2-N2	But he has been getting heat from all sides over program trading	But he has been getting heat from over program trading	all sides	7	NP-D5-N2	PP-D4-N2
German and Dutch investors reportedly loaded up on Kellogg Co	investors reportedly loaded up on Kellogg Co	German and Dutch	ADJP-D2-N0	NP-D1-N0	Names are resigning at an even faster pace this year	Names are resigning at an pace this year	even faster	5	ADJP-D5-N1	NP-D4-N1
Four of those insiders sold more than half their holdings	Four of those insiders sold their holdings	more than half	QP-D3-N3	NP-D2-N3	The company earns about half its revenue overseas and plans further expansion	The company earns its revenue overseas and plans further expansion	about half	3	QP-D4-N0	NP-D3-N1
The new exchange drew instant recognition from an unwelcome quarter	The new exchange drew instant recognition from	an unwelcome quarter	NP-D3-N3	PP-D2-N5	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The finance unit attributed the decline to	higher borrowing costs compared with a year earlier	7	NP-D3-N3	PP-D2-N5
Names are resigning at an even faster pace this year	Names are resigning at this year	an even faster pace	NP-D4-N1	PP-D3-N1	It has some of the highest costs in the league	It has some of	the highest costs in the league	4	NP-D4-N2	PP-D3-N1
Even claims against individuals and companies face significant roadblocks	Even claims against individuals and companies face	significant roadblocks	NP-D2-N3	VP-D1-N1	But funds generally are better prepared this time around	But funds generally are better prepared around	this time	6	NP-D3-N2	VP-D1-N3
The House Energy Committee will debate the issue later this month	The House Energy Committee will debate later this month	the issue	NP-D3-N1	VP-D2-N5	Unilever already has experienced some disappointment	Unilever already has experienced	some disappointment	4	NP-D3-N1	VP-D2-N3
One of the two British companies still making hard toilet paper stopped production of it	One stopped production of it	of the two British companies still making hard toilet paper	PP-D2-N1	NP-D1-N0	The British government also strongly opposes the charter in its current form	The British government also strongly opposes the charter	in its current form	8	PP-D3-N2	NP-D2-N6
The most common conflict involves compensation	The conflict involves compensation	most common	ADJP-D2-N1	NP-D1-N0	But markets can operate with greater or lesser efficiency	But markets can operate with efficiency	greater or lesser	5	ADJP-D5-N0	NP-D4-N1
And his outlook improved after successful cataract surgery in August	And his outlook improved after successful cataract surgery	in August	PP-D4-N1	NP-D3-N1	The figures are at seasonally adjusted annual rates in trillions of dollars	The figures are at seasonally adjusted annual rates in trillions	of dollars	10	PP-D5-N4	NP-D4-N3
Americans place native or native speakers in charge of subsidiaries overseas	Americans place native or native speakers in charge of	subsidiaries overseas	NP-D5-N2	PP-D4-N1	The switch to the London market during such turbulent times is significant	The switch to during such turbulent times is significant	the London market	3	NP-D3-N3	PP-D2-N1
Others had lesser damage and there were no injuries among workers	Others had lesser damage and there were among workers	no injuries	NP-D3-N5	VP-D2-N3	The machine began shipping at the end of last year	The machine began shipping at	the end of last year	5	NP-D3-N2	VP-D1-N1
The answer seems perfectly clear	The answer seems	perfectly clear	ADJP-D2-N3	VP-D1-N1	The report suggested that current review programs are too narrow	The report suggested that current review programs are	too narrow	8	ADJP-D5-N4	VP-D4-N1
Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received a bigger boost later when stock prices moved broadly lower	in the day	PP-D3-N4	ADVP-D2-N3	Some industry groups consistently weather the storm better than others	Some industry groups consistently weather the storm better	than others	8	PP-D3-N3	ADVP-D2-N6
The commercial was absolutely silent	The commercial was	absolutely silent	ADJP-D2-N3	VP-D1-N1	He is our most dangerous enemy	He is our enemy	most dangerous	3	ADJP-D3-N1	VP-D1-N1
The mining zone has thus remained one of the most desolate places in Africa	The mining zone has thus remained one of	the most desolate places in Africa	NP-D5-N2	PP-D4-N1	The House bill also distorts economic efficiency in all sorts of perverse ways	The House bill also distorts economic efficiency in	all sorts of perverse ways	8	NP-D3-N3	PP-D2-N6
The embryo had progressed only to a clump of eight identical cells	The embryo had progressed only to a clump of	eight identical cells	NP-D6-N3	PP-D5-N2	Florida National said yesterday that it remains committed to the merger	Florida National said yesterday that it remains committed to	the merger	9	NP-D7-N1	PP-D6-N1
But Trelleborg still must clear some tough hurdles	But Trelleborg still must clear	some tough hurdles	NP-D3-N1	VP-D2-N3	But this is almost an underground activity	But this is	almost an underground activity	3	NP-D2-N2	VP-D1-N2
South African gold stocks closed moderately lower	gold stocks closed moderately lower	South African	ADJP-D2-N0	NP-D1-N0	Kia is reportedly also considering such a plan	Kia is reportedly also considering plan	such a	5	ADJP-D4-N0	NP-D3-N3
He should chop out both unconstitutional provisions and budget pork	He should chop out	both unconstitutional provisions and budget pork	NP-D3-N2	VP-D2-N2	It also found them rising much more in the Northeast than elsewhere	It also found them rising much more in than elsewhere	the Northeast	8	NP-D5-N3	VP-D3-N1
The ultimate hope is that the technique could identify diseased vessels	The ultimate hope is that the technique could identify	diseased vessels	NP-D6-N1	VP-D5-N3	We had great success in Somalia	We had in Somalia	great success	2	NP-D2-N2	VP-D1-N1
Those two groups have recently been leading the list of stocks setting new highs	Those two groups have recently been leading the list of	stocks setting new highs	NP-D6-N3	PP-D5-N1	Some found it on the screen of a personal computer	Some found it on	the screen of a personal computer	4	NP-D3-N2	PP-D2-N3
The scientists have experimented on the tiny neck arteries of rats	The scientists have experimented	on the tiny neck arteries of rats	PP-D3-N1	VP-D2-N3	Bonds received a bigger boost later in the day when stock prices moved broadly lower	Bonds received a bigger boost later when stock prices moved broadly lower	in the day	6	PP-D3-N4	VP-D1-N1
The tape was on tv before the night was out	The tape was before the night was out	on tv	PP-D2-N3	VP-D1-N1	The dispute was the subject of a Wall Street Journal article in August	The dispute was the subject	of a Wall Street Journal article in August	5	PP-D3-N1	VP-D1-N1
Other analysts are nearly as pessimistic	Other analysts are	nearly as pessimistic	PP-D2-N3	VP-D1-N1	Analysts had mixed responses to the results	Analysts had mixed responses	to the results	4	PP-D3-N1	VP-D1-N1
The house just settled right down into the ground	The house just settled right down into	the ground	NP-D3-N3	PP-D2-N5	The company develops and markets products for the food service industry	The company develops and markets products for	the food service industry	7	NP-D3-N2	PP-D2-N6
Many other brokerage firms had similarly bullish views	Many other brokerage firms had	similarly bullish views	NP-D2-N5	VP-D1-N1	Now the Alley has moved ahead on both artistic and financial fronts	Now the Alley has moved ahead on	both artistic and financial fronts	7	NP-D4-N2	VP-D2-N4
West German bond prices ended lower after a day of aimless trading	West German bond prices ended lower	after a day of aimless trading	PP-D2-N5	VP-D1-N1	The company can go about its business	The company can go	about its business	4	PP-D3-N1	VP-D2-N3
Buyers stepped in to the futures pit	Buyers stepped in	to the futures pit	PP-D3-N1	ADVP-D2-N2	Measures of manufacturing activity fell more than the overall measures	Measures of manufacturing activity fell more	than the overall measures	6	PP-D3-N4	ADVP-D2-N3
Bond prices posted strong gains as investors went on a bargain hunt	Bond prices posted strong gains as investors went on	a bargain hunt	NP-D6-N1	PP-D5-N2	There is no rational justification for such behavior	There is no rational justification for	such behavior	6	NP-D4-N4	PP-D3-N1
This has led them in a fruitless and destructive policy circle	This has led them in	a fruitless and destructive policy circle	NP-D4-N2	PP-D3-N2	Some in the industry are skeptical	Some in are skeptical	the industry	2	NP-D3-N2	PP-D2-N1
Laurie McGinley contributed to this article	Laurie McGinley contributed to	this article	NP-D3-N1	PP-D2-N3	Waxman sells a variety of hardware products for the home repair market	Waxman sells a variety of	hardware products for the home repair market	5	NP-D4-N3	PP-D3-N1
It has sold billions of dollars of other assets and has more on the block	It has sold billions of dollars of other assets and has	more on the block	NP-D3-N3	VP-D2-N3	The most pressing problem was the suspension of options trading	The most pressing problem was	the suspension of options trading	5	NP-D2-N4	VP-D1-N1
Conversation was subdued as most patrons watched the latest market statistics on television	Conversation was subdued as most patrons watched the latest market statistics	on television	PP-D5-N4	VP-D4-N1	The New York company called the lawsuit without merit	The New York company called the lawsuit	without merit	7	PP-D3-N1	VP-D1-N1
She was the child of relative privilege	She was	the child of relative privilege	NP-D2-N2	VP-D1-N1	The measure also includes spending cuts and increases in federal fees	The measure also includes	spending cuts and increases in federal fees	4	NP-D2-N4	VP-D1-N2
The company paid five cents a share in April	The company paid in April	five cents a share	NP-D2-N3	VP-D1-N1	There will be recreation and movie rooms	There will be	recreation and movie rooms	3	NP-D3-N1	VP-D2-N2
Other scandal survivors are sometimes the best source of solace	Other scandal survivors are sometimes	the best source of solace	NP-D2-N5	VP-D1-N1	The new rules will allow investors to buy foreign stocks directly	The new rules will allow investors to buy directly	foreign stocks	8	NP-D6-N1	VP-D5-N2
Many funds allow investors to void orders before the close of trading	Many funds allow investors to void orders	before the close of trading	PP-D5-N2	VP-D4-N2	Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasury bonds tumbled	in moderate to active trading	5	PP-D2-N3	VP-D1-N1
Estimated volume was a heavy seven million ounces	Estimated volume was	a heavy seven million ounces	NP-D2-N3	VP-D1-N1	Market Data Retrieval is a compiler of educational information and provides related services	Market Data Retrieval is and provides related services	a compiler of educational information	4	NP-D3-N1	VP-D2-N3
The rise matches that of the Dow Jones industrials this year	The rise matches that of this year	the Dow Jones industrials	NP-D4-N2	PP-D3-N1	Declines came because of concern that demand for copper may slow down	Declines came because of	concern that demand for copper may slow down	4	NP-D3-N2	PP-D2-N2
Many law firms sponsor their own programs	Many law firms sponsor	their own programs	NP-D2-N4	VP-D1-N1	Many Indians fear a repeat of that experience	Many Indians fear	a repeat of that experience	3	NP-D2-N3	VP-D1-N1
The Allianz statement led to speculation that Allianz eventually could sell to Paribas	The Allianz statement led	to speculation that Allianz eventually could sell to Paribas	PP-D2-N4	VP-D1-N1	Loyalty lags most for utilitarian products like trash bags and batteries	Loyalty lags most	for utilitarian products like trash bags and batteries	3	PP-D2-N3	VP-D1-N1
The trip from the test tube was not without snags	The trip from the test tube was not	without snags	PP-D2-N4	VP-D1-N1	The team then proposed modifications in their work process to management	The team then proposed modifications to management	in their work process	5	PP-D3-N1	VP-D1-N2
There were many more	There were	many more	NP-D2-N2	VP-D1-N1	This is partly due to the particular demands of the crop	This is partly due to	the particular demands of the crop	5	NP-D4-N1	VP-D1-N1
This hurts the price of corporate bonds	This hurts	the price of corporate bonds	NP-D2-N2	VP-D1-N1	Judges will write the real bill as suits roll through the courts	Judges will write as suits roll through the courts	the real bill	3	NP-D3-N1	VP-D2-N2
The most pressing problem was the suspension of options trading	The most pressing problem was the suspension of	options trading	NP-D4-N3	PP-D3-N3	First Interstate made the move under pressure from regulators	First Interstate made the move under	pressure from regulators	6	NP-D3-N3	PP-D2-N4
This is partly due to the particular demands of the crop	This is partly due to the particular demands of	the crop	NP-D6-N4	PP-D5-N1	She went first for personal mementos	She went first for	personal mementos	4	NP-D3-N2	PP-D2-N3
The company rejected those past proposals	The company rejected	those past proposals	NP-D2-N3	VP-D1-N1	The youthful audience for Saturday programming is no longer dependent on the networks	The youthful audience for Saturday programming is no longer dependent on	the networks	11	NP-D4-N3	VP-D1-N1
Traders can vary their strategies and execute their orders in any one of them	Traders can vary and execute their orders in any one of them	their strategies	NP-D4-N1	VP-D3-N0	Inflation is at record levels	Inflation is at	record levels	3	NP-D3-N1	VP-D1-N1
The turnover in both issues was roughly normal	The turnover was roughly normal	in both issues	PP-D2-N1	NP-D1-N0	He is warm and polished before a Puerto Rican Congress in Asbury Park	He is warm and polished before a Puerto Rican Congress	in Asbury Park	10	PP-D4-N1	NP-D3-N4
It adds something to the market	It adds something to	the market	NP-D3-N2	PP-D2-N3	Laurie McGinley contributed to this article	Laurie McGinley contributed to	this article	4	NP-D3-N1	PP-D2-N3
The dissident pilots oppose the plan because it would cause them to lose their seniority	The dissident pilots oppose the plan because it would cause them to lose	their seniority	NP-D9-N1	VP-D8-N2	Yet these figures show only the most visible part of the problem	Yet these figures show	only the most visible part of the problem	4	NP-D2-N4	VP-D1-N2
Earnings of female workers were unchanged	Earnings of were unchanged	female workers	NP-D3-N2	PP-D2-N1	The fund invests mainly in gold and silver bullion	The fund invests mainly in	gold and silver bullion	5	NP-D3-N2	PP-D2-N4
The antibody then kills the cell	The antibody then kills	the cell	NP-D2-N4	VP-D1-N2	But they are stalwart socialists	But they are	stalwart socialists	3	NP-D2-N2	VP-D1-N2
Output of business equipment was unchanged in September	Output of business equipment was unchanged	in September	PP-D2-N4	VP-D1-N1	Both companies will replace the oil filler cap with a ventilated oil filler cap	Both companies will replace the oil filler cap	with a ventilated oil filler cap	8	PP-D3-N2	VP-D2-N3
But observers expect broad support	But observers expect	broad support	NP-D2-N2	VP-D1-N2	Inflation is at record levels	Inflation is at	record levels	3	NP-D3-N1	VP-D1-N1
We do not depend on pharmaceutical companies for our support	We do not depend for our support	on pharmaceutical companies	PP-D3-N1	VP-D2-N3	Yet he has proved more resilient than any of them	Yet he has proved more resilient	than any of them	6	PP-D4-N1	VP-D2-N2
Treasury prices ended mixed in light trading	Treasury prices ended mixed in	light trading	NP-D3-N2	PP-D2-N4	The bill would authorize courts to order the licenses as a condition of probation	The bill would authorize courts to order the licenses as	a condition of probation	10	NP-D7-N3	PP-D6-N2
The extrusion unit produces bare and painted custom extrusions for building products and construction industries	The extrusion unit produces bare and painted custom extrusions for	building products and construction industries	NP-D3-N4	PP-D2-N5	Eventually viewers may grow bored with the technology and resent the cost	Eventually viewers may grow bored with and resent the cost	the technology	6	NP-D6-N1	PP-D5-N1
Even claims against individuals and companies face significant roadblocks	Even claims against individuals and companies face	significant roadblocks	NP-D2-N3	VP-D1-N1	One big obstacle is that few drugstores develop the film anymore	One big obstacle is that develop the film anymore	few drugstores	5	NP-D4-N0	VP-D1-N1
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There are nearby	a few ramshackle fishing towns with quiet atolls of resort houses	NP-D2-N2	VP-D1-N1	Neither disclosed details pending board meetings next month	Neither disclosed details pending	board meetings next month	4	NP-D3-N2	VP-D1-N1
But the move lagged a stronger rise in New York Stock Exchange issues	But the move lagged a stronger rise	in New York Stock Exchange issues	PP-D3-N1	NP-D2-N3	He does this in at least three of his solo pieces	He does this in at least three	of his solo pieces	7	PP-D4-N1	NP-D3-N2
The third principal in the South Gardens adventure did have garden experience	The third principal in did have garden experience	the South Gardens adventure	NP-D3-N4	PP-D2-N1	He has too readily swallowed the case for the activist law school culture	He has too readily swallowed the case for	the activist law school culture	8	NP-D5-N3	PP-D4-N3
Kitchen full of broken crystal	Kitchen full	of broken crystal	PP-D2-N2	ADJP-D1-N1	Prices of Treasury bonds tumbled in moderate to active trading	Prices of Treasury bonds tumbled in moderate trading	to active	7	PP-D5-N1	ADJP-D4-N2
Many fund managers have boosted their cash levels in recent weeks	Many fund managers have boosted in recent weeks	their cash levels	NP-D3-N1	VP-D2-N4	The rise matches that of the Dow Jones industrials this year	The rise matches	that of the Dow Jones industrials this year	3	NP-D2-N3	VP-D1-N1
The issue here may be the soundness of the guarantee	The issue here may be	the soundness of the guarantee	NP-D3-N4	VP-D2-N3	The youthful audience for Saturday programming is no longer dependent on the networks	The youthful audience for Saturday programming is no longer dependent on	the networks	11	NP-D4-N3	VP-D1-N1
Guarantee by General Motors Acceptance Corp	Guarantee	by General Motors Acceptance Corp	PP-D1-N1	NP-D0-N0	No one around me was saying anything	No one was saying anything	around me	2	PP-D2-N1	NP-D1-N0
Trading volume was only modestly higher than normal	Trading volume was higher than normal	only modestly	ADVP-D4-N0	ADJP-D3-N0	Our international efforts were far greater than ever before	Our international efforts were far greater than	ever before	7	ADVP-D4-N1	ADJP-D2-N4
They looked at the miniature and saw a giant folly	They looked and saw a giant folly	at the miniature	PP-D3-N1	VP-D2-N1	The move reflected the growing confidence of the revamped Supreme Soviet	The move reflected the growing confidence	of the revamped Supreme Soviet	6	PP-D3-N1	VP-D1-N1
Miss Brady is deputy director of the Russian Research Foundation in London	Miss Brady is deputy director	of the Russian Research Foundation in London	PP-D3-N1	NP-D2-N3	It is a peaceful time in this part of western India	It is a peaceful time in this part	of western India	8	PP-D4-N1	NP-D3-N4
Ads for England are artsy and irreverent	Ads for England are	artsy and irreverent	ADJP-D2-N3	VP-D1-N1	Other trips were more productive	Other trips were	more productive	3	ADJP-D2-N3	VP-D1-N1
He became angry in return	He became angry	in return	PP-D2-N3	VP-D1-N1	Others had lesser damage and there were no injuries among workers	Others had lesser damage and there were no injuries	among workers	9	PP-D3-N6	VP-D2-N3
Next year may see a drop of one percentage point	Next year may see a drop	of one percentage point	PP-D4-N1	NP-D3-N1	He said that the research team had no financial stake in the drug	He said that the research team had no financial stake	in the drug	10	PP-D6-N1	NP-D5-N4
Most analysts had expected a sharper decline after the steep rise in August	Most analysts had expected a sharper decline after the steep rise	in August	PP-D5-N1	NP-D4-N4	Competition in the sale of complete bikes is heating up too	Competition is heating up too	in the sale of complete bikes	1	PP-D2-N1	NP-D1-N0
Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions	in growing foreign markets	PP-D3-N1	NP-D2-N4	The youthful audience for Saturday programming is no longer dependent on the networks	The youthful audience is no longer dependent on the networks	for Saturday programming	3	PP-D2-N1	NP-D1-N0
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Its previous proposal had conditioned rate limits	on Seabrook operations and other contingencies	PP-D4-N1	NP-D3-N1	Developers are also eyeing the real estate portfolios of major corporations	Developers are also eyeing the real estate portfolios	of major corporations	8	PP-D4-N1	NP-D3-N2
The completion of the merger agreement follows months of twists and turns	The completion follows months of twists and turns	of the merger agreement	PP-D2-N1	NP-D1-N0	Ski promotions have traditionally avoided the touchy issue of safety	Ski promotions have traditionally avoided the touchy issue	of safety	8	PP-D4-N1	NP-D3-N2
Judith Valente contributed to this article	Judith Valente contributed to	this article	NP-D3-N1	PP-D2-N3	The mask cuts to the quick	The mask cuts to	the quick	4	NP-D3-N1	PP-D2-N3
The Diet plays a minor role compared with the powerful bureaucratic system	The Diet plays a minor role compared with	the powerful bureaucratic system	NP-D4-N1	PP-D3-N4	This hurts the price of corporate bonds	This hurts the price of	corporate bonds	5	NP-D4-N3	PP-D3-N1
The Orange Workers are just putting this preaching into practice	The Orange Workers are just putting this preaching	into practice	PP-D3-N3	VP-D2-N5	Their discomfort is a healthy sign for the rest of us	Their discomfort is a healthy sign	for the rest of us	6	PP-D3-N1	VP-D1-N1
The dollar weakened against most other major currencies	The dollar weakened	against most other major currencies	PP-D2-N3	VP-D1-N1	Manufacturers Hanover had a loss due to a big reserve addition	Manufacturers Hanover had a loss due	to a big reserve addition	6	PP-D4-N3	VP-D1-N1
The original owners happily repaid the claim and took their kylix home	The original owners happily repaid the claim and took home	their kylix	NP-D3-N4	VP-D2-N5	Red tape is the bugaboo of small business	Red tape is	the bugaboo of small business	3	NP-D2-N3	VP-D1-N1
There will be recreation and movie rooms	There will be	recreation and movie rooms	NP-D3-N1	VP-D2-N2	The executive branch bears the first responsibility for timidity	The executive branch bears	the first responsibility for timidity	4	NP-D2-N4	VP-D1-N1
The issue here may be the soundness of the guarantee	The issue here may be the soundness of	the guarantee	NP-D5-N3	PP-D4-N1	The move reflected the growing confidence of the revamped Supreme Soviet	The move reflected the growing confidence of	the revamped Supreme Soviet	7	NP-D4-N4	PP-D3-N1
The dollar posted gains in quiet trading as concerns about equities abated	The dollar posted gains in quiet trading as concerns abated	about equities	PP-D5-N1	NP-D4-N2	Those current holders would also receive minority interests in the new company	Those current holders would also receive minority interests	in the new company	8	PP-D4-N1	NP-D3-N2
Stock prices rallied in active trading	Stock prices rallied	in active trading	PP-D2-N3	VP-D1-N1	Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should consider the impact at the beginning of the planning process	of budget uncertainties	5	PP-D4-N1	VP-D2-N2
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	But its stock jumped again yesterday as it disclosed margins on those sales	surprisingly strong	ADJP-D7-N0	NP-D6-N0	Kia is reportedly also considering such a plan	Kia is reportedly also considering plan	such a	5	ADJP-D4-N0	NP-D3-N3
The appeals court disagreed on both counts	The appeals court disagreed on	both counts	NP-D3-N1	PP-D2-N4	He sits down at the piano and plays	He sits down at and plays	the piano	4	NP-D4-N2	PP-D3-N2
The embryo had progressed only to a clump of eight identical cells	The embryo had progressed only to a clump	of eight identical cells	PP-D5-N2	NP-D4-N2	This is partly due to the particular demands of the crop	This is partly due to the particular demands	of the crop	8	PP-D5-N1	NP-D4-N1
Analysts had mixed responses to the results	Analysts had	mixed responses to the results	NP-D2-N2	VP-D1-N1	The deal would require approval by a majority of Jaguar shareholders	The deal would require	approval by a majority of Jaguar shareholders	4	NP-D3-N1	VP-D2-N3
Several other Japanese companies and regional governments have sent aid to San Francisco	Several other Japanese have sent aid to San Francisco	companies and regional governments	NX-D2-N3	NP-D1-N0	The pool invested idle cash for many state agencies and local governments	The pool invested idle cash for many	state agencies and local governments	7	NX-D4-N1	NP-D3-N3
But violation could bring substantial tax penalties to both employer and employees	But violation could bring substantial tax penalties	to both employer and employees	PP-D3-N2	VP-D2-N2	Their ridicule of him is no substitute for argument	Their ridicule of him is no substitute	for argument	7	PP-D3-N5	VP-D1-N1
The House bill also distorts economic efficiency in all sorts of perverse ways	The House bill also distorts economic efficiency in all sorts of	perverse ways	NP-D5-N3	PP-D4-N1	The Maybelline beauty product line had higher sales following a sluggish first half	The Maybelline beauty product line had higher sales following	a sluggish first half	9	NP-D3-N3	PP-D2-N7
El Paso owns and operates a petroleum refinery	El Paso owns and operates	a petroleum refinery	NP-D2-N5	VP-D1-N1	But the market turmoil could be partially beneficial for some small businesses	But the market turmoil could be partially beneficial for	some small businesses	9	NP-D5-N1	VP-D2-N4
Merchant banks were stronger across the board	Merchant banks were stronger across	the board	NP-D3-N2	ADVP-D2-N4	But that was all of three months ago	But that was ago	all of three months	3	NP-D3-N0	ADVP-D2-N2
Merchant banks were stronger across the board	Merchant banks were stronger	across the board	ADVP-D2-N4	VP-D1-N1	South African gold stocks closed moderately lower	South African gold stocks closed	moderately lower	5	ADVP-D2-N4	VP-D1-N1
Estimated volume was three million ounces	Estimated volume was ounces	three million	QP-D3-N0	NP-D2-N3	At least half that growth will have come in the past three years alone	that growth will have come in the past three years alone	At least half	0	QP-D2-N0	NP-D1-N0
Most earn high ratings from credit agencies	Most earn high ratings	from credit agencies	PP-D3-N1	NP-D2-N2	They speak volumes about the state of our society at a given moment	They speak volumes about the state at a given moment	of our society	6	PP-D4-N1	NP-D3-N2
Americans place native or native speakers in charge of subsidiaries overseas	Americans place native or native speakers in charge	of subsidiaries overseas	PP-D4-N1	NP-D3-N5	Maybe it was their peculiar sense of history	Maybe it was their peculiar sense	of history	6	PP-D3-N1	NP-D2-N3
Some Wall Street firms monitor for recordkeeping purposes	Some Wall Street firms monitor for	recordkeeping purposes	NP-D3-N1	PP-D2-N5	Even the boon to affiliate relations may be limited	Even the boon to may be limited	affiliate relations	4	NP-D3-N4	PP-D2-N1
But the utility may not continue next year	But the utility may not continue	next year	NP-D3-N1	VP-D2-N4	But most investors were seeking share prices and other information	But most investors were seeking	share prices and other information	5	NP-D3-N1	VP-D2-N3
Fannie Mae makes a secondary market in home loans	Fannie Mae makes	a secondary market in home loans	NP-D2-N3	VP-D1-N1	They did me some good	They did me	some good	3	NP-D2-N3	VP-D1-N1
The project has been in and out of the pipeline for more than a decade	The project has been in and out of the pipeline for	more than a decade	NP-D4-N5	PP-D3-N2	The two sides also traded accusations about the cost of the Packwood plan	The two sides also traded accusations about	the cost of the Packwood plan	7	NP-D4-N2	PP-D3-N1
Not everyone believes that the good times are over for shippers	Not everyone believes that the good times are over	for shippers	PP-D5-N5	VP-D4-N1	She bursts into tears and walks away	She bursts and walks away	into tears	2	PP-D3-N1	VP-D2-N1
