demon	d_label	test	start	end	prediction
于是我更加关注这支球队	这支	我昨天走了一个半小时	20	23	走了一个
我周日晚上走	周日晚上	她是个行政的主任	19	16	nan
我们住哪个酒店	哪个酒店	这是我的微博	17	10	nan
我下个月去买车	下个月	那你俩照什么主题	0	10	[CLS]我下个月去买车。下个
土地基金增强特区财政储备	特区财政储备	关键是他的英语水平跟我一样	24	34	是他的英语水平跟我一样
他不管这些子事	这些子事	那说明驱动没装好	19	10	nan
你的光环是你自己的	你自己的	你要给我客人的护照号码和名字	31	29	nan
你这周先别去	这周	燃料电池的项目最近没有什么进展	19	21	最近没
那你还是打印电子版的吧	电子版的	这个交通标识是什么意思	25	20	nan
你叫什么名字	什么名字	我一直放低自己的底线	19	21	自己的
我也正在物色这方面的人才	这方面的人才	这个男孩有些意向	4	23	在物色这方面的人才。这方面的人才。[SEP]这个
社会主义不止一条路	一条路	她对你们都很熟悉的	25	8	nan
你手里的钱应该够了吧	你手	你在那公司里做过吧	17	21	在那公司里
我们做弱电系统	弱电系统	我五点后空的	19	2	nan
你肯定是一个好爸爸	一个好爸爸	于是我更加关注这支球队	19	12	nan
你这周先别去	这周	只是人确实在某个时间段会很脆弱	17	19	在某个
她天天做你的	你的	你是什么时候来	19	15	nan
你不在一早上了	一早上	这个是小影院	19	15	nan
按照银行报表的销售额可以	银行报表	看样子这个年龄的男人很危险	27	24	nan
我们住哪个酒店	哪个酒店	这个领导可能有领导的想法吧	25	16	nan
土地基金增强特区财政储备	特区财政储备	你可以查查你们那边的	24	3	nan
他是换全新的	全新的	这个领导可能有领导的想法吧	19	14	nan
我在高铁上了	高铁上	你在那公司里做过吧	14	16	在那公
徒弟只能做到这个程度	这个程度	你看俺弟黑的	24	13	nan
社会主义不止一条路	一条路	大雪在圣诞的时候	18	21	在圣诞的
你这周先别去	这周	这样的说法也震动了我们那个政府	19	24	动了我们那个
我没见过她老公	她老公	那说明驱动没装好	19	21	没装好
我在高铁上了	高铁上	双方都不会放在心里	19	19	在
灵感来自我师母	我师母	我也正在物色这方面的人才	17	21	在物色这方
你可以查查你们那边的	你们那边	看样子这个年龄的男人很危险	31	22	nan
现在我只加了电子病历的	电子病历	对转基因的议论真的很多	19	21	对转基
我买了挺多肉丸的	挺多	他是换全新的	19	3	nan
一个孩子长大怎么这么难	一个	新一轮的政治斗争又将开始	26	14	nan
我发现你每天很有点无聊列	每天	下次他什么时候来	24	19	nan
下次他什么时候来	什么时候	我们每个人买了一个新秀丽的箱子	19	19	个
他不管这些子事	这些子事	那你在群里说说	17	10	nan
我没见过她老公	她老公	我们每个人买了一个新秀丽的箱子	19	22	买了一个
龙猫属于夜行动物	夜行动物	我们住哪个酒店	19	20	哪个
我基本每周都不走	每周	那你还要寄送什么推荐信	25	21	nan
节奏可能跟外企的差不多	外企的	那在这个方面上我们能达成共识	19	21	在这个
那你还是打印电子版的吧	电子版的	大雪在圣诞的时候	21	8	nan
他们报了什么兴趣班	什么兴趣班	送礼也是个技术活	25	22	nan
那你还是打印电子版的吧	电子版的	利民经常干这种事情的	29	25	nan
我买了这件	这件	他不管这些子事	18	15	nan
我们局里好几个单身一起去玩玩	好几个	我昨天走了一个半小时	27	27	个
这个是什么意思	什么意思	你可以去其他地方测试一下	25	2	nan
男女主角叫啥	男女	他是换全新的	17	6	nan
我准备了好长时间嗯	好长	他是换全新的	18	1	nan
灵感来自我师母	我师母	你在哪个医院	15	17	在哪个
我买了挺多肉丸的	挺多	这样的说法也震动了我们那个政府	19	26	也震动了我们那个
你可以查查你们那边的	你们那边	对转基因的议论真的很多	27	4	nan
我在高铁上了	高铁上	他从楼上摔下来生死未卜我很难过	27	21	nan
这游戏的价值比太低了	这游戏	我也正在物色这方面的人才	20	22	在物色
你要找天线供应商	天线供应商	我从心里喜欢孩子的真	18	21	从心里喜
我有个重要问题那里有没有厕所	个重要问题	女人对自己好点	25	16	nan
你就给她发一条吧里还说清楚	一条	其实穷也是一种幸福	19	25	其实穷也是一种
社会主义不止一条路	一条路	我四点从单位直接出发	19	21	从单位
这恰恰说明了应试教育的好处	应试教育的好处	我在高铁上了	25	8	nan
我五点后空的	五点后	行李放在车上	16	3	nan
下午点的就可以	下午点	我也正在物色这方面的人才	17	21	在物色这方
灵感来自我师母	我师母	每天往返路程需要多长时间	26	23	nan
灵感来自我师母	我师母	那你喜欢什么样的	0	20	[CLS]灵感来自我师母。我师母。[SEP]那你喜欢什么样
我是说手机信息	手机信息	她在跟她老公打电话	16	20	在跟她老公
一个孩子长大怎么这么难	一个	我昨天走了一个半小时	20	23	走了一个
那你喜欢什么样的	什么样的	我周六凌晨的飞机	19	21	凌晨的
你肯定是一个好爸爸	一个好爸爸	思八达是不是离你家很近	25	12	nan
大雪在圣诞的时候	圣诞的时候	那你俩照什么主题	3	19	在圣诞的时候。圣诞的时候。[SEP]那你俩
我们局里好几个单身一起去玩玩	我们局里	我以前唱烛光里的妈妈	32	7	nan
下午点的就可以	下午点	看样子这个年龄的男人很危险	27	18	nan
你还参加过这种阿	这种	只是人确实在某个时间段会很脆弱	19	21	在某个
我在高铁上了	高铁上	我妈在家里做也很受欢迎	15	6	nan
每天往返路程需要多长时间	多长时间	我昨天走了一个半小时	25	26	一个
我也正在物色这方面的人才	这方面	你手里的钱应该够了吧	4	21	在物色这方面的人才。这方面。[SEP]你手里
她天天做你的	你的	女人对自己好点	19	3	nan
那你还要寄送什么推荐信	什么推荐信	我们每个人买了一个新秀丽的箱子	27	28	一个
我周日晚上走	周日晚上	我还得赶点东西	19	1	nan
我们做弱电系统	弱电系统	节奏可能跟外企的差不多	19	21	跟外企
她在跟她老公打电话	她老公	你在那公司里做过吧	17	21	在那公司里
其实穷也是一种幸福	一种幸福	然后你把钱打到我的支付宝	19	7	nan
你看社区地图	社区地图	我知道那个地方	19	18	nan
燃料电池的项目最近没有什么进展	什么进展	龙猫属于夜行动物	26	13	nan
化妆品可能占点空间会	点空间	你在哪个医院	18	20	在哪个
我也正在物色这方面的人才	这方面	原来账户的钱不够了	19	6	nan
我是你同学	你同学	这个交通标识是什么意思	18	13	nan
提前批好像是公安之类的	公安之类	对转基因的议论真的很多	19	21	对转基
我们局里好几个单身一起去玩玩	我们局里	你手里的钱应该够了吧	32	7	nan
我们公司在搞什么二十周年庆	什么二十周年庆	老板应该是想你们回来	5	20	在搞什么二十周年庆。什么二十周年
我不知道上次你看了群聊记录没	群聊记录	每天往返路程需要多长时间	24	6	nan
这个是小影院	小影院	你在那公司里做过吧	14	2	nan
这是一这是原则问题	原则问题	你啥米专业	17	3	nan
这游戏的价值比太低了	这游戏	原来账户的钱不够了	25	21	nan
燃料电池的项目最近没有什么进展	什么进展	你说他家有什么	27	29	有什么
他们住一楼	一楼	我买了挺多肉丸的	19	2	nan
只是人确实在某个时间段会很脆弱	某个时间段	她在跟她老公打电话	25	18	nan
那小子赚了不少钱	不少钱	那个超声喷雾做的是球形的	27	16	nan
按照银行报表的销售额可以	银行报表	我以前唱烛光里的妈妈	27	4	nan
化妆品可能占点空间会	点空间	那你还要寄送什么推荐信	19	24	还要寄送什么
你可以查查你们那边的	你们那边	女状元的爸爸谈教育	19	21	状元的
我们局里好几个单身一起去玩玩	我们局	那在这个方面上我们能达成共识	22	24	在这个
我上个月去找他了	上个月	目录没什么要求把	20	11	nan
我准备了好长时间嗯	好长	这样的说法也震动了我们那个政府	27	27	个
他是纯爷们	纯爷们	那你俩照什么主题	19	14	nan
其实穷也是一种幸福	一种	新一轮的政治斗争又将开始	24	7	nan
那小子赚了不少钱	不少钱	她是个行政的主任	19	17	nan
目录没什么要求把	什么要求	你和我哥差不多大	24	11	nan
那你请啥假	啥假	附近有个民生银行	19	14	nan
我们按这个标准交	这个标准	你家里比我家里可能性大些列	19	11	nan
龙猫属于夜行动物	夜行动物	于是我更加关注这支球队	16	21	于是我更加关
我还得赶点东西	点东西	这个男孩有些意向	20	15	nan
这就是贫富差距的显现	贫富差距	我也正在物色这方面的人才	21	23	在物色
利民经常干这种事情的	这种事情	提前批好像是公安之类的	19	21	前批好
我也正在物色这方面的人才	这方面的人才	你看这个有没好点	4	25	在物色这方面的人才。这方面的人才。[SEP]你看这个
我们是泡沫的	泡沫的	你是什么时候来	19	16	nan
你在哪个医院	哪个医院	目录没什么要求把	19	9	nan
我知道那个地方	那个地方	我是你同学	18	10	nan
男人不差在别的地方	别的地方	她在跟她老公打电话	18	21	在跟她老
我这次给了名字的	这次	下次他什么时候来	20	15	nan
肥肉妹这把赚大了	这把	我们按这个标准交	18	18	个
你往我家打电话了	我家	那是因为你自己这样觉得	19	22	自己这样
只是人确实在某个时间段会很脆弱	某个时间段	节奏可能跟外企的差不多	6	18	在某个时间段会很脆弱。某个
我周六凌晨的飞机	周六凌晨	文档里的是外置的吧	19	21	的是外
我周日晚上走	周日晚上	我有个重要问题那里有没有厕所	25	16	nan
我昨天走了一个半小时	一个半小时	海边离火车站很远	26	13	nan
我这次给了名字的	这次	目录没什么要求把	19	3	nan
我明天有健步走活动	健步走活动	节奏可能跟外企的差不多	25	3	nan
你这几年过得好不饿	这几年	这个交通标识是什么意思	25	17	nan
我不太好去她家做菜	她家	那你还要寄送什么推荐信	25	21	nan
现在我只加了电子病历的	电子病历	文档里的是外置的吧	25	21	nan
于是我更加关注这支球队	这支球队	目录没什么要求把	26	23	nan
我们每个人买了一个新秀丽的箱子	一个新秀丽的箱子	我五点后空的	32	18	nan
我周六凌晨的飞机	周六凌晨	我也正在物色这方面的人才	19	21	在物色
女状元的爸爸谈教育	女状元	文档里的是外置的吧	19	21	的是外
我买了挺多肉丸的	挺多	常规的一些团都会去	19	18	nan
我知道那个地方	那个地方	你不在一早上了	17	10	nan
送礼也是个技术活	个技术活	我从心里喜欢孩子的真	17	10	nan
我基本每周都不走	每周	这样的说法也震动了我们那个政府	19	26	也震动了我们那个
我们做弱电系统	弱电系统	于是我更加关注这支球队	15	23	于是我更加关注这支
忠厚保持到生命最后一刻	生命最后一刻	我们是泡沫的	27	21	nan
我哪有什么关系	什么关系	我还得赶点东西	19	5	nan
我周六凌晨的飞机	周六凌晨	女状元的爸爸谈教育	19	21	的爸爸
你可以查查你们那边的	你们那边的	只是人确实在某个时间段会很脆弱	24	26	在某个
其实穷也是一种幸福	一种幸福	这是我的微博	19	7	nan
你想多少人	多少人	我要跟家长说说	19	3	nan
原来账户的钱不够了	原来账户	对转基因的议论真的很多	20	21	因的
我周日晚上走	周日晚上	他通过电视认识我的	19	21	认识我
我一直但是这个事情	这个事情	你看俺弟黑的	17	12	nan
这就是贫富差距的显现	贫富差距的显现	我爱人办完事会跟你们联系	29	21	nan
我买了这件	这件	我知道那个地方	18	15	nan
我们是泡沫的	泡沫的	徒弟只能做到这个程度	19	20	这个
你是什么时候来	什么时候	你该找个妹子了	17	18	找个
燃料电池的项目最近没有什么进展	什么进展	这就是贫富差距的显现	25	13	nan
我昨天走了一个半小时	一个半小时	他是纯爷们	19	13	nan
提前批好像是公安之类的	公安之类的	徒弟只能做到这个程度	25	27	到这个
按照银行报表的销售额可以	银行报表的销售额	那是因为你自己这样觉得	27	32	为你自己这样
这是一这是原则问题	原则问题	这样的说法也震动了我们那个政府	19	29	的说法也震动了我们那个
这个要熊猫的那个	熊猫的那个	这恰恰说明了应试教育的好处	25	14	nan
我住的不远校车很快到了	很快	结果我妈不停的催我	19	21	我妈不
我没见过她老公	她老公	你在那公司里做过吧	15	21	在那公司里做过
这是你才华的发动机	你才华的发动机	那你还要寄送什么推荐信	31	27	nan
龙猫属于夜行动物	夜行动物	这个男孩有些意向	24	17	nan
她在跟她老公打电话	她老公	男人不差在别的地方	20	21	在别
我一直放低自己的底线	自己的底线	你看俺弟黑的	19	23	你看俺弟黑
你还参加过这种阿	这种	徒弟只能做到这个程度	19	21	到这个
我买了这件	这件	这个是什么意思	18	12	nan
你叫什么名字	什么名字	我们公司在搞什么二十周年庆	18	21	在搞什么
你在那公司里做过吧	那公司	我们局里好几个单身一起去玩玩	25	22	nan
你叫什么名字	什么名字	我还得赶点东西	19	6	nan
这个要熊猫的那个	熊猫的那个	其他都是园林类的	19	14	nan
同质化竞争到底坑了谁的爹	谁的爹	到时候我给你们打电话	19	23	到时候我给
他是换全新的	全新的	你看这个有没好点	17	16	nan
大雪在圣诞的时候	圣诞的时候	我一直放低自己的底线	19	21	直放低
灵感来自我师母	我师母	我要跟家长说说	19	2	nan
土地基金增强特区财政储备	特区财政储备	所以我才有其他想法	26	3	nan
我周六凌晨的飞机	周六凌晨	你手里的钱应该够了吧	19	3	nan
她在跟她老公打电话	她老公	节奏可能跟外企的差不多	19	21	能跟外
于是我更加关注这支球队	这支球队	你那边现在几点	23	21	nan
我们是泡沫的	泡沫的	我们还不是可以自己活	19	21	以自己
我明天有健步走活动	健步走活动	我哪有什么关系	25	21	nan
毒狗的分身有持续时间么	持续时间	关键是税务能否动	24	11	nan
我一直放低自己的底线	自己的底线	他是纯爷们	19	23	他是纯爷们
你叫什么名字	什么名字	每天往返路程需要多长时间	26	23	nan
你可以去其他地方测试一下	其他地方	我还得赶点东西	27	10	nan
目录没什么要求把	什么要求	再说你很多群友学生	19	23	很多群友学
社会主义不止一条路	一条路	文科基本上生活中有点用	26	8	nan
你可以查查你们那边的	你们那边的	我也不知道他们的投诉电话	31	21	nan
我在高铁上了	高铁上	我就在你面前倚老卖老一次吧	15	21	在你面前倚老卖
你可以查查你们那边的	你们那边的	你是什么时候来	19	21	你是什
我没见过她老公	她老公	你可以查查你们那边的	19	11	nan
忠厚保持到生命最后一刻	生命最后一刻	我五点后空的	27	21	nan
我们是泡沫的	泡沫的	我们每个人买了一个新秀丽的箱子	21	21	个
我有个重要问题那里有没有厕所	个重要问题	计画不如变化快	26	16	nan
她通常早上很早起来回复邮件	很早	女儿还没吞他又凶凶地硬塞	25	13	nan
你啥时来	啥时	那是因为你自己这样觉得	12	18	因为你自己这样
化妆品可能占点空间会	点空间	我以前唱烛光里的妈妈	19	7	nan
社会主义不止一条路	一条	我昨天走了一个半小时	19	21	了一个
我昨天走了一个半小时	一个半小时	我一直放低自己的底线	19	13	nan
土地基金增强特区财政储备	特区财政储备	这个男孩有些意向	26	23	nan
你还参加过这种阿	这种	燃料电池的项目最近没有什么进展	27	11	nan
节奏可能跟外企的差不多	外企的	我们按这个标准交	25	22	nan
你这周先别去	这周	我们公司在搞什么二十周年庆	16	23	在搞什么二十周年
我也正在物色这方面的人才	这方面的人才	我昨天走了一个半小时	4	28	在物色这方面的人才。这方面的人才。[SEP]我昨天走了一个
这个是小影院	小影院	利民经常干这种事情的	20	2	nan
那小子赚了不少钱	不少钱	明天祥惜他也和我们一起看房子	19	25	他也和我们一起
那我明天早上跟她说吧	明天早上	我五点后空的	24	21	nan
我住的不远校车很快到了	很快	女儿还没吞他又凶凶地硬塞	19	11	nan
现在我只加了电子病历的	电子病历的	我们按这个标准交	27	24	nan
你可以查查你们那边的	你们那边	文档里的是外置的吧	24	21	nan
我准备了好长时间嗯	好长时间	我以前唱烛光里的妈妈	19	1	nan
龙猫属于夜行动物	夜行动物	她在跟她老公打电话	17	21	在跟她老公
下午点的就可以	下午点	文档里的是外置的吧	18	21	是外置的
那你请啥假	啥假	这样的说法也震动了我们那个政府	19	23	了我们那个
提前批好像是公安之类的	公安之类	这游戏的价值比太低了	25	3	nan
男女主角叫啥	男女	这样的说法也震动了我们那个政府	19	24	动了我们那个
他是知青子女正在读博士	知青子女	我准备了好长时间嗯	8	23	在读博士。知青子女。[SEP]我准备了好
我是说手机信息	手机信息	我也不知道他们的投诉电话	27	21	nan
男人不差在别的地方	别的地方	你在那公司里做过吧	18	21	在那公司
于是我更加关注这支球队	这支	新一轮的政治斗争又将开始	26	21	nan
丫头去了好几次	好几次	我现在一身汗	16	11	nan
丫头去了好几次	好几次	你想多少人	19	11	nan
你不在一早上了	一早上	你啥米专业	19	15	nan
那你还是打印电子版的吧	电子版的	我从心里喜欢孩子的真	19	23	我从心里喜
你要找天线供应商	天线供应商	只是个人没什么好处	18	19	是个
他不管这些子事	这些子事	这是你才华的发动机	24	21	nan
那你还要寄送什么推荐信	什么推荐信	关键是学校的成绩单不好印	32	8	nan
你这周先别去	这周	我哪有什么关系	19	16	nan
我还有点佩服你师傅这样的人	你师傅这样的人	这恰恰说明了应试教育的好处	37	11	nan
你叫什么名字	什么名字	只是人确实在某个时间段会很脆弱	19	21	在某个
送礼也是个技术活	个技术活	我还得赶点东西	17	10	nan
每天往返路程需要多长时间	多长	这样的说法也震动了我们那个政府	27	30	我们那个
提前批好像是公安之类的	公安之类	看样子这个年龄的男人很危险	32	23	nan
我周六凌晨的飞机	周六凌晨	我以前唱烛光里的妈妈	17	3	nan
每天往返路程需要多长时间	多长	常规的一些团都会去	25	22	nan
你就给她发一条吧里还说清楚	一条	那小子赚了不少钱	27	16	nan
那你俩照什么主题	什么主题	我知道那个地方	19	20	那个
现在我只加了电子病历的	电子病历	这游戏的价值比太低了	25	3	nan
我一直放低自己的底线	自己的底线	我知道莫路送卡了	19	21	我知道
我发现你每天很有点无聊列	每天	徒弟只能做到这个程度	25	25	个
目录没什么要求把	什么要求	我一直放低自己的底线	19	21	放低自
我们每个人买了一个新秀丽的箱子	一个	新一轮的政治斗争又将开始	30	18	nan
我在高铁上了	高铁上	我以前唱烛光里的妈妈	14	21	以前唱烛光里的妈
我准备了好长时间嗯	好长时间	于是我更加关注这支球队	17	26	于是我更加关注这支球
这是你才华的发动机	你才华的发动机	我从心里喜欢孩子的真	30	23	nan
我周六凌晨的飞机	周六凌晨	对转基因的议论真的很多	19	21	因的议
丫头去了好几次	好几次	你机票多少钱	19	11	nan
之前的一个硕士博士都留院了	一个	新一轮的政治斗争又将开始	28	16	nan
他们住一楼	一楼	你在哪个医院	12	14	在哪个
只是个人没什么好处	什么好处	我没见过她老公	24	3	nan
丫头去了好几次	好几次	社会主义不止一条路	19	21	止一条
那在这个方面上我们能达成共识	这个方面	你在那公司里做过吧	23	17	nan
我买了挺多肉丸的	挺多肉丸	这个要熊猫的那个	18	23	要熊猫的那个
你往我家打电话了	我家	按照银行报表的销售额可以	25	21	nan
我们住哪个酒店	哪个酒店	谁只有小腿高	17	10	nan
我们做弱电系统	弱电系统	你说他家有什么	19	21	有什么
她天天做你的	你的	老板应该是想你们回来	17	21	想你们回来
他们住一楼	一楼	关键是他的英语水平跟我一样	24	23	nan
我是说手机信息	手机信息	这是你才华的发动机	24	21	nan
你还参加过这种阿	这种	俺弟一结婚我就没什么事了	19	11	nan
我也正在物色这方面的人才	这方面的人才	你在哪个医院	23	25	在哪个
我这次给了名字的	这次	只是人确实在某个时间段会很脆弱	19	21	在某个
他们住一楼	一楼	女人对自己好点	18	16	nan
这个交通标识是什么意思	什么意思	这个男孩有些意向	25	20	nan
毒狗的分身有持续时间么	持续时间	那你喜欢什么样的	27	21	nan
我上个月去找他了	上个月	每天往返路程需要多长时间	17	11	nan
这个交通标识是什么意思	什么意思	那说明驱动没装好	25	2	nan
毒狗的分身有持续时间么	持续时间	你在网上看	20	23	在网上看
你叫什么名字	什么名字	海边离火车站很远	19	6	nan
利民经常干这种事情的	这种事情	我准备了好长时间嗯	27	13	nan
我在高铁上了	高铁上	行李放在车上	16	6	nan
你还参加过这种阿	这种	我哪有什么关系	19	11	nan
你要找天线供应商	天线供应商	灵感来自我师母	19	21	来自我
你要找天线供应商	天线供应商	关键是税务能否动	19	4	nan
正好我现在一个同事有点心得	一个	新一轮的政治斗争又将开始	5	16	在一个同事有点心得。一个
大雪在圣诞的时候	圣诞的时候	那说明驱动没装好	19	7	nan
现在我只加了电子病历的	电子病历的	他们报了什么兴趣班	2	21	在我只加了电子病历的。电子病历的。[SEP]他们
我五点后空的	五点后	我以前唱烛光里的妈妈	14	21	以前唱烛光里的妈
你问问销售的价格	销售的价格	灵感来自我师母	19	21	来自我
利民经常干这种事情的	这种事情	于是我更加关注这支球队	19	13	nan
你问问销售的价格	销售的价格	龙猫属于夜行动物	20	22	于夜行
其实穷也是一种幸福	一种	我昨天走了一个半小时	19	21	了一个
半个月前我姨夫出车祸过世了	半个	我昨天走了一个半小时	19	25	我昨天走了一个
半个月前我姨夫出车祸过世了	半个月	我们局里好几个单身一起去玩玩	29	26	nan
我周四晚火车	周四晚	我们按这个标准交	19	17	nan
我是说手机信息	手机信息	那是因为你自己这样觉得	19	23	你自己这样
这个是小影院	小影院	我还得赶点东西	19	2	nan
我也正在物色这方面的人才	这方面	这游戏的价值比太低了	4	6	在物色
我都是用网络硬盘的	网络硬盘	你问问销售的价格	25	21	nan
其实穷也是一种幸福	一种幸福	正好我现在一个同事有点心得	21	23	在一个
按照银行报表的销售额可以	银行报表	文档里的是外置的吧	24	21	nan
他是换全新的	全新的	你不在一早上了	15	3	nan
他是换全新的	全新的	下次他什么时候来	19	14	nan
你看社区地图	社区地图	这是我的微博	19	2	nan
我现在一身汗	一身	新一轮的政治斗争又将开始	21	5	nan
这是一这是原则问题	原则问题	我昨天走了一个半小时	20	23	走了一个
我昨天走了一个半小时	一个半小时	我们住哪个酒店	19	23	我们住哪个
附近有个民生银行	个民生银行	这个领导可能有领导的想法吧	27	18	nan
我们局里好几个单身一起去玩玩	好几个	新一轮的政治斗争又将开始	30	18	nan
社会主义不止一条路	一条	新一轮的政治斗争又将开始	24	8	nan
你这几年过得好不饿	这几年	所以我才有其他想法	17	13	nan
他是纯爷们	纯爷们	我周六凌晨的飞机	19	14	nan
你这周先别去	这周	利民经常干这种事情的	19	18	nan
只是人确实在某个时间段会很脆弱	某个时间段	我们按这个标准交	6	28	在某个时间段会很脆弱。某个时间段。[SEP]我们按这个
这是我的微博	我的微博	到时候我给你们打电话	19	21	你们打
我准备了好长时间嗯	好长时间	忠厚保持到生命最后一刻	26	1	nan
你这周先别去	这周	我下个月去买车	19	14	nan
你不在一早上了	一早上	你在那公司里做过吧	15	21	在那公司里做过
你啥时来	啥时	大雪在圣诞的时候	12	2	nan
你叫什么名字	什么名字	我们住哪个酒店	19	18	nan
男女主角叫啥	男女	常规的一些团都会去	19	16	nan
只是人确实在某个时间段会很脆弱	某个时间段	男人不差在别的地方	28	18	nan
一个人也够无聊的	一个	新一轮的政治斗争又将开始	26	11	nan
你入市了几多钱	几多钱	我还得赶点东西	19	4	nan
肥肉妹这把赚大了	这把	只是人确实在某个时间段会很脆弱	19	21	在某个
目录没什么要求把	什么要求	到时候我给你们打电话	19	11	nan
你手里的钱应该够了吧	你手	那在这个方面上我们能达成共识	17	19	在这个
目录没什么要求把	什么要求	这个要熊猫的那个	18	23	要熊猫的那个
我以前唱烛光里的妈妈	烛光里的妈妈	我还得赶点东西	27	7	nan
你要给我客人的护照号码和名字	客人的护照号码和名字	你啥米专业	32	14	nan
我基本每周都不走	每周	下次他什么时候来	20	15	nan
文科基本上生活中有点用	点用	我一直放低自己的底线	27	21	nan
丫头去了好几次	好几次	我们公司在搞什么二十周年庆	18	21	在搞什么
一个人在家么	一个	我昨天走了一个半小时	19	18	nan
你可以查查你们那边的	你们那边	原来账户的钱不够了	27	4	nan
这个是什么意思	什么意思	这个是小影院	19	16	nan
毒狗的分身有持续时间么	持续时间	我以前唱烛光里的妈妈	19	21	我以前
这个男孩有些意向	些意向	我还得赶点东西	19	2	nan
我也正在物色这方面的人才	这方面	看样子这个年龄的男人很危险	4	23	在物色这方面的人才。这方面。[SEP]看样子这个
我明天有健步走活动	健步走活动	你要给我客人的护照号码和名字	29	21	nan
其实穷也是一种幸福	一种幸福	我还是坐周晨那儿	19	7	nan
我都是用网络硬盘的	网络硬盘	海边离火车站很远	19	1	nan
我们住哪个酒店	哪个酒店	你在网上看	16	10	nan
我周六凌晨的飞机	周六凌晨	看样子这个年龄的男人很危险	19	20	这个
丫头去了好几次	好几次	我昨天走了一个半小时	19	20	一个
我是说手机信息	手机信息	我还是坐周晨那儿	19	21	周晨那
你往我家打电话了	我家	男人不差在别的地方	18	3	nan
我发现你每天很有点无聊列	每天	我对她高中都没什么印象	19	21	对她高
然后你把钱打到我的支付宝	我的支付宝	我们住哪个酒店	26	25	nan
那你还要寄送什么推荐信	什么推荐信	我有同学在这儿	24	21	nan
她在跟她老公打电话	她老公	我们按这个标准交	19	20	这个
