demon	d_deleted	test	t_deleted	start
There are more than three times as many franchised domestic outlets as there are company stores	more than three times as many franchised domestic outlets as there are company stores	The antitrust division of the Justice Department is investigating the oddly similar tuition charges and increases among the top schools	the oddly similar tuition charges and increases among the top schools	9
Tymnet is a major network linking computers	a major network linking computers	The electronics industry is closely following the Dellums bill	the Dellums bill	6
But other rake makers have their doubts	their doubts	Shvartzer is a derogatory Yiddish word for a black person	a derogatory Yiddish word for a black person	2
Some business analysts blame the problem on tough competition in the insurance market	the problem	The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	7
Details and Camden are essential Florio	essential Florio	Slowing economies in some areas limit student choice	student choice	6
Some economists expect further declines in investment spending	further declines in investment spending	The network must refund money to the advertisers and loses considerable revenue and prestige	considerable revenue and prestige	10
Logic plays a minimal role here	a minimal role	He again urged passage of a constitutional amendment outlawing abortion	passage of a constitutional amendment outlawing abortion	3
This hurts the price of corporate bonds	the price of corporate bonds	Slowing economies in some areas limit student choice	student choice	6
Steppenwolf needs the extra seats even more than the fly space	the extra seats	This is football country	football country	2
Cost is a key consideration because of the global sweep of the financial markets	a key consideration	Sun also reported a record backlog of orders	a record backlog of orders	3
American institutional investors have never had a large appetite for Japanese equities	a large appetite for Japanese equities	The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	7
It also would have reduced mandatory overtime	mandatory overtime	It made my shoelaces dance with terror	my shoelaces	2
The result is a new and huge appetite for programming	a new and huge appetite for programming	Lawrence Ross of PaineWebber would avoid Union Camp	Union Camp	6
Concord is a camera and photographic products company	a camera and photographic products company	Futures prices showed modest changes in light trading volume	modest changes	3
Risk is also a function of time	a function of time	Most expect the decline in New York stock prices to continue this week	this week	11
Sun posted a gain	a gain	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
Rolled copper product sales were major contributors to overall sales growth	major contributors to overall sales growth	The Babelists of the United Nations are experts at obfuscation	experts at obfuscation	7
One such company is Bankers Trust Co	Bankers Trust Co	Brooks Brothers is also remodeling its stores	its stores	5
The number of issues falling on the New York Stock Exchange each day is eclipsing the number of gainers	each day	The loss of the cigarette account would be a severe blow to Wells Rich	a severe blow to Wells Rich	8
There was tremendous public enthusiasm for stock mutual funds	tremendous public enthusiasm for stock mutual funds	Many other brokerage firms had similarly bullish views	similarly bullish views	5
He was only the sixth federal judge ever ousted from office after an impeachment trial	only the sixth federal judge	The bank is now aggressively marketing retail services at its domestic branches	retail services	6
The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	The agreement ended a long impasse between the congressional leaders and the White House over the wage issue	a long impasse between the congressional leaders and the White House over the wage issue	3
Estimated volume was five million ounces	five million ounces	The prolonged price pressures are driving a wedge between some franchisers and their franchisees	a wedge	6
Many of his peers feel the same way	the same way	Big financial stocks carried the day	the day	4
The only plug for the sponsor is a brief mention at the end of the spot	a brief mention at the end of the spot	But in this case the needle has a very sharp point	a very sharp point	7
The bill also elevates even minor rule infractions to felonies and provides for recovery of punitive damages in civil lawsuits and arbitration cases without any showing of willful misconduct	even minor rule infractions	Giant has interests in cement making and newsprint	interests in cement making and newsprint	2
The company is facing a takeover proposal from the financier Sir James Goldsmith	a takeover proposal from the financier Sir James Goldsmith	Whether she can meet that ambitious goal is still far from certain	that ambitious goal	4
Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	Federal Paper Board sells paper and wood products	paper and wood products	4
The Journal also will offer expanded volume and frequency discounts	expanded volume and frequency discounts	The cuckoo prefers the nests of other birds and heaves out their eggs	the nests of other birds	3
American institutional investors have never had a large appetite for Japanese equities	a large appetite for Japanese equities	Big financial stocks carried the day	the day	4
The adjustments reflect the increase in the consumer price index for urban wage earners and clerical workers from the third quarter of last year to the third quarter of this year	the increase in the consumer price index for urban wage earners and clerical workers from the third quarter of last year to the third quarter of this year	Most expect the decline in New York stock prices to continue this week	this week	11
The reason was not high interest rates or labor costs	high interest rates or labor costs	He withdrew the remark	the remark	2
The American Stock Exchange listed shares of two companies	shares of two companies	The market drop has now apparently convinced foreign investors that the Treasury was right about the overpriced dollar	foreign investors	7
But most investors were seeking share prices and other information	share prices and other information	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	some poorly managed properties	6
Some institutional traders loved the wild ride	the wild ride	The entire opera is her dream	her dream	4
But there is a grimly ironic twist to the Columbia loss	a grimly ironic twist to the Columbia loss	Retailers could get a boost this year from the calendar	a boost	3
Senator Byrd is chairman of the Appropriations Committee	chairman of the Appropriations Committee	One such company is Bankers Trust Co	Bankers Trust Co	4
More carefully targeted intervention might actually reduce the need for government action	the need for government action	Shvartzer is a derogatory Yiddish word for a black person	a derogatory Yiddish word for a black person	2
Kyle manufactures electronic components	electronic components	They did themselves even more good	even more good	3
The Pentagon is a haunted house	a haunted house	Cost is a key consideration because of the global sweep of the financial markets	a key consideration	2
The estimate includes the results of new stores	the results of new stores	The ultimate hope is that the technique could identify diseased vessels	diseased vessels	9
Ideologues on the other side of the border can also slow the process	the process	But violation could bring substantial tax penalties to both employer and employees	substantial tax penalties	4
Old Environmentalism involved microbe hunters and sanitationists	microbe hunters and sanitationists	Estimated volume was a very light one million ounces	a very light one million ounces	3
He also leads an opulent life style	an opulent life style	Lawmakers in both houses support the higher level	the higher level	5
The other two portions of the deal are remarketings of outstanding debt rather than new issues	remarketings of outstanding debt rather than new issues	But sophistication has its limits	its limits	3
But most investors were seeking share prices and other information	share prices and other information	Eventually viewers may grow bored with the technology and resent the cost	the cost	10
And the world could experience its first psyllium shortage	its first psyllium shortage	His humility gives him a much better chance of success	a much better chance of success	4
Judge Merhige will make the appointment	the appointment	Your story is an insult to the citizens of the Mississippi Delta	an insult to the citizens of the Mississippi Delta	3
Retailers could get a boost this year from the calendar	a boost	The put establishes a minimum selling price for the stock during its life	a minimum selling price for the stock during its life	3
Telerate provides information about financial markets through an electronic network	information about financial markets	He has canceled numerous campaign appointments and was largely inaccessible to the media until the stock story broke	numerous campaign appointments	3
Not that oil suddenly is a sure thing again	a sure thing	You built your career on prejudice and hate	your career	2
Chrysler will idle a Toledo assembly plant temporarily due to slowing sales of its profitable Jeep Cherokee and Wagoneer sport utility vehicles	a Toledo assembly plant	The indirectness of his later work reflects both an appetite for new genres and the hazards of art in the Arab world	both an appetite for new genres and the hazards of art in the Arab world	7
The company just went public earlier this month	earlier this month	Pacific First owns Pacific First Federal Savings Banks and other financial services firms	Pacific First Federal Savings Banks and other financial services firms	3
The prolonged price pressures are driving a wedge between some franchisers and their franchisees	a wedge	Our teachers are not an important factor in our educational crisis	an important factor in our educational crisis	4
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	6
He confers big trading commissions on Wall Street firms	big trading commissions	He again urged passage of a constitutional amendment outlawing abortion	passage of a constitutional amendment outlawing abortion	3
The company reported good gains in all of its divisions	good gains in all of its divisions	Continental Airlines is a unit of Texas Air Corp	a unit of Texas Air Corp	3
He had been president of the international operations	president of the international operations	The doomsayers had a receptive audience	a receptive audience	3
Westinghouse carefully crafted the agreement because the Justice Department earlier this year successfully challenged a proposed steam turbine joint venture with Asea Brown Boveri	the agreement	He takes over a school system in the midst of radical reform	a school system in the midst of radical reform	3
That means huge travel bills	huge travel bills	He has designed furniture and homes as well as commercial and office space	furniture and homes as well as commercial and office space	3
Continental Airlines is a unit of Texas Air Corp	a unit of Texas Air Corp	The new exchange drew instant recognition from an unwelcome quarter	instant recognition	4
He had been president of the international operations	president of the international operations	It also would have reduced mandatory overtime	mandatory overtime	5
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	the stability of the stock market	But in this case the needle has a very sharp point	a very sharp point	7
The report of the bankruptcy filing stunned Hollywood executives and investors	Hollywood executives and investors	Lawrence Ross of PaineWebber would avoid Union Camp	Union Camp	6
The state of New Hampshire has favored that plan	that plan	The airline also named Mickey Foret as president	Mickey Foret	4
There was no cost estimate for the second phase	no cost estimate for the second phase	Both are mining concerns	mining concerns	2
The safety board will begin four days of hearings on the accident tomorrow in Sioux City	four days of hearings on the accident	Two election commission members opposed the matching plans	the matching plans	5
Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	An additional benefit is the creation of jobs	the creation of jobs	4
Both figures were record highs	record highs	It is a bureaucratic country	a bureaucratic country	2
But in this case the needle has a very sharp point	a very sharp point	Her new line of work has some perils	some perils	6
Both companies are regional carriers in the Southwest	regional carriers in the Southwest	Estimated volume was three million ounces	three million ounces	3
There was no immediate estimate of damage from the company	no immediate estimate of damage	He has too readily swallowed the case for the activist law school culture	the case for the activist law school culture	5
Steppenwolf needs the extra seats even more than the fly space	the extra seats	Ashland had a loss	a loss	2
Continental Air replaced its top executive for the sixth time in as many years	its top executive	He ticks off several major differences between now and two years ago	several major differences between now and two years ago	3
He reset opening arguments for today	opening arguments	The rise of superintendents such as Joseph Fernandez and Ted Kimbrough suggests plainly the process of disintegration in many school systems	the process of disintegration in many school systems	13
Many of his peers feel the same way	the same way	This misguided policy could not prevent a British trade deficit	a British trade deficit	6
Japan is not a political country	a political country	Big withdrawals from the junk funds have continued this month	this month	8
James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	Ashland expects that sale to be complete next year	next year	7
The Allianz statement also reinforced the belief that the takeover battle could be a long one	the belief that the takeover battle could be a long one	White children empty the wastepaper baskets and squeegee the windows	the wastepaper baskets	3
Parts are a tragedy	a tragedy	Kia is reportedly also considering such a plan	such a plan	5
It has some of the highest costs in the league	some of the highest costs in the league	Details and Camden are essential Florio	essential Florio	4
James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	Some institutional traders loved the wild ride	the wild ride	4
Confectionery products sales also had strong growth in the quarter	strong growth	Other scandal survivors are sometimes the best source of solace	the best source of solace	5
It recently introduced a line for the home market	a line for the home market	The Polish rat will eat well this winter	this winter	6
Sun posted a gain	a gain	British government bonds surged on renewed volatility in the stock market	renewed volatility in the stock market	5
The bank is now aggressively marketing retail services at its domestic branches	retail services	The move will cut out the cost of a middleman and give Specialized more control over marketing and sales	the cost of a middleman	5
He divorced his first wife three years ago and married the daughter of his court clerk	his first wife	It should be a scream	a scream	3
The screen was a sea of red	a sea of red	Not that oil suddenly is a sure thing again	a sure thing	5
The deal would require approval by a majority of Jaguar shareholders	approval by a majority of Jaguar shareholders	British government bonds surged on renewed volatility in the stock market	renewed volatility in the stock market	5
And the egg producers have done a pretty good job	a pretty good job	Now there are many cars for every purse and purpose	many cars for every purse and purpose	3
But the steam may never reach the engine room	the engine room	The husky blond guide with the Aggie cap twists his face in mock fury	his face	9
Federal Paper Board sells paper and wood products	paper and wood products	An analyst cited weaker capital spending and exports	weaker capital spending and exports	3
Some in Big Oil are easing the grip on their wallets	the grip on their wallets	The tribe is one of the poorest in the Pacific Northwest	one of the poorest in the Pacific Northwest	3
The mining zone has thus remained one of the most desolate places in Africa	one of the most desolate places in Africa	Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	2
The Arabs had merely oil	merely oil	But the two groups represent a further step in defensiveness	a further step in defensiveness	5
Both the Peasants and Rural Solidarity are forming new political parties for farmers	new political parties for farmers	People start their own businesses for many reasons	their own businesses	2
Blue chips led the march up in heavy trading	the march up	Illinois Company Investments had been trimming its ranks until last summer	its ranks	6
The tribe is one of the poorest in the Pacific Northwest	one of the poorest in the Pacific Northwest	Cost is a key consideration because of the global sweep of the financial markets	a key consideration	2
The deal requires regulatory and shareholder approval	regulatory and shareholder approval	But Chairman Gonzalez is a genuine maverick	a genuine maverick	4
The tribe is one of the poorest in the Pacific Northwest	one of the poorest in the Pacific Northwest	James Earl Jones and Mario Van Peebles carry out a bitter intergenerational dialogue between two black men	a bitter intergenerational dialogue between two black men	9
But its unsentimental sketches of Cairo life are vintage Mahfouz	vintage Mahfouz	He has designed furniture and homes as well as commercial and office space	furniture and homes as well as commercial and office space	3
Delayed financings also would affect the operations of many companies	the operations of many companies	Parts are a tragedy	a tragedy	2
Union officials have taken a beating politically as a result	a beating	Giant has interests in cement making and newsprint	interests in cement making and newsprint	2
And Oranjemund boasts attractions besides diamonds	attractions besides diamonds	Frequent trading runs up high commission costs	high commission costs	4
The Fed has assumed a similar responsibility in the market for government securities	a similar responsibility in the market for government securities	Futures prices showed modest changes in light trading volume	modest changes	3
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	the impact of budget uncertainties	Nausea seems a commonplace symptom	a commonplace symptom	2
The incident occurred Saturday night	Saturday night	The new exchange drew instant recognition from an unwelcome quarter	instant recognition	4
There was no appreciable market impact from the California earthquake	no appreciable market impact from the California earthquake	Baskets of roses and potted palms adorned his bench	his bench	7
One of the two British companies still making hard toilet paper stopped production of it	hard toilet paper	That could shove a weak economy into recession	a weak economy	3
Recruiter Donald Clark does note an increase in searches for minority candidates	an increase in searches for minority candidates	The local American Legion color guard led the way	the way	7
There is no rational justification for such behavior	no rational justification for such behavior	The worriers cite some worrisome trends	some worrisome trends	3
The collapse of the span has provoked surprise and anger among state officials	surprise and anger among state officials	The husky blond guide with the Aggie cap twists his face in mock fury	his face	9
The reconciliation talks in the Libyan desert town of Tobruk followed a meeting Monday in the Egyptian resort of Mersa Metruh	a meeting Monday in the Egyptian resort of Mersa Metruh	Only now is it undergoing a badly needed facelift	a badly needed facelift	5
Telerate provides information about financial markets through an electronic network	information about financial markets	The antitrust division of the Justice Department is investigating the oddly similar tuition charges and increases among the top schools	the oddly similar tuition charges and increases among the top schools	9
The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	Most recently he had been executive vice president for planning and finance at Texas Air	executive vice president for planning and finance at Texas Air	5
Utilities management is a major commercial niche	a major commercial niche	Mubarak held reconciliation talks with Gadhafi at the Egyptian resort of Mersa Metruh	reconciliation talks	2
The reputed wealth of the Unification Church is another matter of contention	another matter of contention	The plan would impose a brief freeze on physician fees next year	a brief freeze	4
Business leaders have long criticized the agency as a leading example of bureacratic waste	the agency	The plan would impose a brief freeze on physician fees next year	a brief freeze	4
They did me some good	some good	It is merely the most obvious	the most obvious	3
It is a bureaucratic country	a bureaucratic country	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	the decline	4
Wilfred closed its Massachusetts schools earlier this year	its Massachusetts schools	We now know that the words were not always his own	his own	9
That caused a brief period of panic selling of stocks on the Big Board	a brief period of panic selling of stocks	But there is no solid evidence that the Khmer Rouge have changed	no solid evidence that the Khmer Rouge have changed	3
The challengers will have a big price advantage	a big price advantage	He has too readily swallowed the case for the activist law school culture	the case for the activist law school culture	5
One apparent side effect is a minor increase in a brain hormone	a minor increase in a brain hormone	But Superfund also contains a criminal provision concerning the release of toxic substances into the environment	a criminal provision concerning the release of toxic substances into the environment	4
Men were a constant complication	a constant complication	Both have become confidants of President Bush	confidants of President Bush	3
Mazda makes the Tracer for Ford	the Tracer	Estimated volume was three million ounces	three million ounces	3
Investors and analysts applauded the news	the news	Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	5
The electronics industry is closely following the Dellums bill	the Dellums bill	He reset opening arguments for today	opening arguments	2
This is New York City	New York City	Cases in Los Angeles County involving dependent children are usually heard in the Criminal Courts Building	dependent children	6
William Coors is their uncle	their uncle	Las Vegas has seen nothing quite like it before	nothing quite like it	4
But they attribute much of the weakness to customer inventory reductions	much of the weakness	Industry observers expect a wide divergence in performance	a wide divergence in performance	3
Ideologues on the other side of the border can also slow the process	the process	But a few funds have taken other defensive steps	other defensive steps	6
He is a lawyer with a string of academic degrees	a lawyer with a string of academic degrees	The June killings magnified the problems	the problems	4
Their problem is one of inefficiency of an industrial economy	one of inefficiency of an industrial economy	Investors and analysts applauded the news	the news	4
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	6
Other money managers also opened their wallets	their wallets	There was tremendous public enthusiasm for stock mutual funds	tremendous public enthusiasm for stock mutual funds	2
Now there are many cars for every purse and purpose	many cars for every purse and purpose	There was no immediate estimate of damage from the company	no immediate estimate of damage	2
The laws take effect next month	next month	Next year may see a drop of one percentage point	a drop of one percentage point	4
The company is facing a takeover proposal from the financier Sir James Goldsmith	a takeover proposal from the financier Sir James Goldsmith	He expects Citicorp to take a similar step this year	a similar step	5
Other network applications have very different goals	very different goals	Every major maker offers computers with color displays	computers with color displays	4
But some money managers are doing just that	just that	This creates several problems	several problems	2
Not that oil suddenly is a sure thing again	a sure thing	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	his praise of constitutional meat	2
Investors and analysts applauded the news	the news	He dedicated all these new forces to the Persian Gulf	all these new forces	2
Four of those insiders sold more than half their holdings	more than half their holdings	At least it has a little dash	a little dash	4
But there is no solid evidence that the Khmer Rouge have changed	no solid evidence that the Khmer Rouge have changed	Shearson Lehman Hutton began its coverage of the company with favorable ratings	its coverage of the company	4
Kyle manufactures electronic components	electronic components	She and her husband started a small printing business and need the car for work as well as for weekend jaunts	a small printing business	5
It advised the National Football League in its largely successful defense of antitrust charges by the United States Football League	the National Football League	That would leave Hun Sen and the Khmer Rouge	Hun Sen and the Khmer Rouge	3
The spinoff should solve a problem for the parent	a problem	This is an index fund with a bet	an index fund with a bet	2
But observers expect broad support	broad support	Higher earnings helped some issues	some issues	3
Trading in cotton and sugar was nervous and showed small declines	small declines	Creative accounting is a hallmark of federal credit	a hallmark of federal credit	3
The plan would impose a brief freeze on physician fees next year	a brief freeze	And the egg producers have done a pretty good job	a pretty good job	6
The result is a new and huge appetite for programming	a new and huge appetite for programming	Local pollution problems require cheap energy and capital for their solution	cheap energy and capital	4
Parts are a tragedy	a tragedy	He withdrew the remark	the remark	2
Slowing economies in some areas limit student choice	student choice	It should be a scream	a scream	3
They currently have large orders for cargo planes	large orders for cargo planes	They did themselves even more good	even more good	3
Estimated volume was a light two million ounces	a light two million ounces	They grew up with more brand choices than any generation and have shown less allegiance so far	less allegiance	13
Congressmen raised the issue yesterday at a hearing	the issue	Conversation was subdued as most patrons watched the latest market statistics on television	the latest market statistics	7
But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	Many fund managers have boosted their cash levels in recent weeks	their cash levels	5
Rolled copper product sales were major contributors to overall sales growth	major contributors to overall sales growth	This could mean diminished issuance of derivative mortgage issues during the next few weeks	diminished issuance of derivative mortgage issues during the next few weeks	3
The historical profession will survive these decisions	these decisions	Hanson is a London producer of consumer and other goods	a London producer of consumer and other goods	2
The small changes in averages reflect generally unchanged yields at many major banks	generally unchanged yields at many major banks	The Journal also will offer expanded volume and frequency discounts	expanded volume and frequency discounts	5
The key here is the ambition of state Attorney General John Van de Kamp	the ambition of state Attorney General John Van de Kamp	Junk bonds opened as much as four points lower but staged a modest comeback as stock prices firmed	a modest comeback	11
Industry observers expect a wide divergence in performance	a wide divergence in performance	Los Angeles will be the site of a new entertainment division for the ad agency	the site of a new entertainment division for the ad agency	4
Two segments posted lower earnings for the quarter	lower earnings for the quarter	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
Japan is not a political country	a political country	Managers of junk funds were bolstering their cash hoards after the September cash crunch at Campeau Corp	their cash hoards	6
Sun posted a gain	a gain	Whether she can meet that ambitious goal is still far from certain	that ambitious goal	4
The ultimate hope is that the technique could identify diseased vessels	diseased vessels	Uncertainty dogs every aspect of their lives	every aspect of their lives	2
Sun posted a gain	a gain	But Mexico urgently needs more help	more help	4
The association between the two companies stretches back thirty years to a friendship between television producer Mark Goodson and Ingersoll founder Ralph Ingersoll	thirty years	But there is a grimly ironic twist to the Columbia loss	a grimly ironic twist to the Columbia loss	3
Two election commission members opposed the matching plans	the matching plans	Their report galvanized other molecular biologists	other molecular biologists	3
President Bush has been hearing this kind of opposition first hand during meetings over the past two days with Democratic senators at the White House	this kind of opposition	It is merely the most obvious	the most obvious	3
Big financial stocks carried the day	the day	Preparedness involves more than flashlights and fire alarms these days	more than flashlights and fire alarms	2
The thrift and the holders had suspended their lawsuits as part of the agreement	their lawsuits	Ashland had a loss	a loss	2
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	rate limits on Seabrook operations and other contingencies	The education establishment will fight against common sense every inch of the way	every inch of the way	8
Announced and anticipated purchases from foreign countries are also supporting futures prices	futures prices	Employees wore identification badges listing not only their names but also their dates of hire	identification badges listing not only their names but also their dates of hire	2
Westinghouse carefully crafted the agreement because the Justice Department earlier this year successfully challenged a proposed steam turbine joint venture with Asea Brown Boveri	the agreement	The June killings magnified the problems	the problems	4
Delayed financings also would affect the operations of many companies	the operations of many companies	The business includes Beefeater gin	Beefeater gin	3
Timber stocks got a big boost	a big boost	The association said that lack of airport and air space capacity is the biggest problem facing the airline industry	the biggest problem facing the airline industry	12
Some current rates exceed those on CDs	those on CDs	Connaught is a biotechnology research and vaccine manufacturing concern	a biotechnology research and vaccine manufacturing concern	2
He wound up and let loose a fastball	a fastball	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	the largest population of citizens of Polish heritage in any city outside Poland	2
Liquidity is not a service	a service	Shearson Lehman Hutton began its coverage of the company with favorable ratings	its coverage of the company	4
This is an index fund with a bet	an index fund with a bet	The House version would raise slightly more	slightly more	5
Union officials have taken a beating politically as a result	a beating	Your story is an insult to the citizens of the Mississippi Delta	an insult to the citizens of the Mississippi Delta	3
The husky blond guide with the Aggie cap twists his face in mock fury	his face	There were many more	many more	2
Employees wore identification badges listing not only their names but also their dates of hire	identification badges listing not only their names but also their dates of hire	The new exchange drew instant recognition from an unwelcome quarter	instant recognition	4
William Coors is their uncle	their uncle	These are curious times in South African politics	curious times in South African politics	2
Now there are many cars for every purse and purpose	many cars for every purse and purpose	The company reported good gains in all of its divisions	good gains in all of its divisions	3
But junk bonds took more hits	more hits	The indirectness of his later work reflects both an appetite for new genres and the hazards of art in the Arab world	both an appetite for new genres and the hazards of art in the Arab world	7
Some in Big Oil are easing the grip on their wallets	the grip on their wallets	Most recently he had been executive vice president for planning and finance at Texas Air	executive vice president for planning and finance at Texas Air	5
It was a jarring day for investors in Genetics Institute	a jarring day	News of the bid drew sharp criticism from other computer companies and industry observers	sharp criticism	5
That structural lack is crucial because investors are the only source of market liquidity	the only source of market liquidity	But another big problem has been the aging of baby boomers	the aging of baby boomers	6
The only plug for the sponsor is a brief mention at the end of the spot	a brief mention at the end of the spot	Higher earnings helped some issues	some issues	3
All of the bidders contemplate full payment including interest to secured creditors	full payment including interest to secured creditors	Opponents show that there are already more funds available than commendable reform efforts	more funds available than commendable reform efforts	6
Civil suits against planners by clients seeking recovery of funds are increasingly common	recovery of funds	Cray made its announcement after the stock market closed	its announcement	2
Qintex Australia is a unit of Qintex Ltd	a unit of Qintex Ltd	None of the firms reported any major damage to facilities as a result of the quake	any major damage to facilities as a result of the quake	5
Economists expected twice as large an increase	twice as large an increase	We put some orders together	some orders	2
The Polish rat will eat well this winter	this winter	It is a bureaucratic country	a bureaucratic country	2
The Polish rat will eat well this winter	this winter	Other money managers also opened their wallets	their wallets	5
He ticks off several major differences between now and two years ago	several major differences between now and two years ago	Czech reformers can recall the Wilsonian ideals of the same period in their country	the Wilsonian ideals of the same period in their country	4
The Diet plays a minor role compared with the powerful bureaucratic system	a minor role	Soon she was running the office	the office	4
The excess supply pushed gasoline prices down in that period	gasoline prices	The company reported good gains in all of its divisions	good gains in all of its divisions	3
This is the commercial version	the commercial version	Bargain hunters helped stock prices break a weeklong losing streak while bond prices and the dollar inched higher	a weeklong losing streak	6
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	surprisingly strong margins on those sales	We put some orders together	some orders	2
The company rejected those past proposals	those past proposals	Details and Camden are essential Florio	essential Florio	4
Most expect the decline in New York stock prices to continue this week	this week	a nun raising some lovable orphans	some lovable orphans	3
Copper prices fell sharply Friday afternoon	Friday afternoon	He again urged passage of a constitutional amendment outlawing abortion	passage of a constitutional amendment outlawing abortion	3
That brought a chain reaction in the industry	a chain reaction in the industry	Others analyze the data	the data	2
But there is a grimly ironic twist to the Columbia loss	a grimly ironic twist to the Columbia loss	It also licenses optically based data storage and retrieval devices	optically based data storage and retrieval devices	3
The revival of the real estate mortgage investment conduit market reflected the relative calm in the mortgage market after two days of volatile trading	the relative calm in the mortgage market after two days of volatile trading	The legal fight was the subject of a Wall Street Journal story yesterday	the subject of a Wall Street Journal story yesterday	4
